city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,19.63,19.53,19.08,19.63,1009,72,1009,990,10000,4.2,326,6.97,45,Clouds,scattered clouds,03d,10800
Saint Petersburg,RU,30.2642,59.8944,13.92,13.77,13.92,13.92,1006,92,1006,1005,10000,2.65,274,6.36,21,Clouds,few clouds,02d,10800
Novosibirsk,RU,82.9344,55.0411,24.54,24.64,24.54,24.54,1008,61,1008,989,10000,4.88,104,7.62,89,Clouds,overcast clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,14.24,14.2,14.24,14.24,1006,95,1006,973,10000,3.15,356,6.67,84,Clouds,broken clouds,04d,18000
Kazan,RU,49.1221,55.7887,18.47,18.33,18.47,18.47,1010,75,1010,997,10000,1.12,277,1.2,99,Clouds,overcast clouds,04d,10800
Vladimir,RU,40.3966,56.1366,19.45,19.93,19.45,19.45,1007,95,1007,991,10000,3.2,257,7.98,78,Rain,light rain,10d,10800
Nizhny Novgorod,RU,44.002,56.3287,20.87,20.84,20.87,20.87,1007,70,1007,997,10000,3.94,213,10.1,73,Clouds,broken clouds,04d,10800
Samara,RU,50.0,53.0,19.25,19.19,19.25,19.25,1010,75,1010,1001,10000,2.05,312,3.21,22,Clouds,few clouds,02d,14400
Omsk,RU,73.4,55.0,22.33,22.71,22.33,22.33,1000,80,1000,990,10000,5.04,167,8.2,35,Rain,light rain,10d,21600
Krasnoyarsk,RU,92.7917,56.0097,25.29,25.23,25.29,25.29,1010,52,1010,982,10000,1.26,8,1.39,1,Clear,clear sky,01d,25200
Rostov-on-Don,RU,39.7139,47.2364,21.8,21.39,21.8,21.8,1010,52,1010,1005,10000,3.02,68,7.31,0,Clear,clear sky,01d,10800
Ufa,RU,56.0375,54.775,16.3,16.21,16.3,16.3,1007,85,1007,994,10000,3.3,353,5.47,6,Clear,clear sky,01d,18000
Volgograd,RU,44.5018,48.7194,22.73,22.42,22.73,22.73,1011,52,1011,1005,10000,1.18,84,1.54,0,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,17.04,16.65,17.04,17.04,1008,71,1008,991,10000,1.72,353,3.17,8,Clear,clear sky,01d,18000
Voronezh,RU,39.17,51.6664,23.19,23.21,23.19,23.19,1011,63,1011,996,10000,0.95,265,1.17,83,Clouds,broken clouds,04d,10800
Krasnodar,RU,40.0,45.0,18.89,18.92,18.89,18.89,1008,80,1008,998,10000,2.41,88,5.31,0,Clear,clear sky,01d,10800
Saratov,RU,46.0333,51.5667,17.08,17.14,17.08,17.08,1012,88,1012,1004,10000,1.08,322,1.27,0,Clear,clear sky,01d,14400
Tyumen,RU,65.5272,57.1522,18.42,18.48,18.42,18.42,1003,83,1003,993,10000,2.34,42,3.61,100,Clouds,overcast clouds,04d,18000
Tolyatti,RU,49.3461,53.5303,18.05,18.05,18.05,18.05,1010,82,1010,1003,10000,1.46,304,1.6,61,Clouds,broken clouds,04d,14400
Izhevsk,RU,53.2333,56.85,18.4,18.52,18.4,18.4,1009,85,1009,993,10000,1.51,324,2.26,9,Clear,clear sky,01d,14400
London,GB,-0.1257,51.5085,12.1,11.25,11.41,13.9,1028,72,1028,1024,10000,2.15,343,4.87,29,Clouds,scattered clouds,03n,3600
Paris,FR,2.3488,48.8534,15.2,15.02,14.1,15.7,1027,86,1027,1017,10000,1.27,353,2.13,6,Clear,clear sky,01n,7200
Berlin,DE,13.4105,52.5244,14.58,14.05,13.34,15.6,1019,75,1019,1014,10000,8.94,281,13.86,19,Clouds,few clouds,02d,7200
Madrid,ES,-3.7026,40.4165,21.2,20.5,19.39,21.82,1023,43,1023,949,10000,3.58,15,8.49,0,Clear,clear sky,01n,7200
Rome,US,-85.1647,34.257,26.98,30.27,26.98,26.98,1018,86,1018,992,10000,0.33,201,0.1,9,Clear,clear sky,01n,-14400
Amsterdam,NL,4.8897,52.374,14.28,13.57,12.68,15.5,1025,69,1025,1025,10000,0.45,215,0.89,8,Clear,clear sky,01n,7200
Brussels,BE,4.3488,50.8504,10.85,10.37,9.88,11.54,1027,91,1027,1020,10000,1.11,215,1.17,3,Clear,clear sky,01n,7200
Vienna,AT,16.3721,48.2085,19.86,19.6,18.19,20.08,1017,65,1017,991,10000,3.47,292,12.18,9,Clear,clear sky,01n,7200
