city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,13.52,12.68,13.52,13.52,1015,67,1015,995,10000,2.67,330,6.48,67,Clouds,broken clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,12.35,11.62,12.35,12.35,1015,76,1015,1012,10000,2.83,275,6.89,86,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,20.92,20.82,20.92,20.92,1007,67,1007,988,10000,4.22,66,6.58,36,Clouds,scattered clouds,03d,25200
Yekaterinburg,RU,60.6125,56.8575,15.57,15.61,15.57,15.57,996,93,996,964,10000,2.87,160,6.52,100,Clouds,overcast clouds,04d,18000
Kazan,RU,49.1221,55.7887,14.27,13.97,14.27,14.27,1003,85,1003,990,10000,5.79,311,12.23,53,Clouds,broken clouds,04d,10800
Vladimir,RU,40.3966,56.1366,9.79,8.39,9.79,9.79,1013,77,1013,996,10000,2.78,306,6.93,15,Clouds,few clouds,02d,10800
Nizhny Novgorod,RU,44.002,56.3287,12.8,11.91,12.8,12.8,1009,68,1009,998,10000,4.5,301,10.33,3,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,14.01,13.89,14.01,14.01,1004,93,1004,995,10000,4.11,288,9.34,10,Clear,clear sky,01d,14400
Omsk,RU,73.4,55.0,24.83,24.7,24.83,24.83,1005,51,1005,994,10000,5.73,137,9.93,6,Clear,clear sky,01d,21600
Krasnoyarsk,RU,92.7917,56.0097,20.63,20.39,20.63,20.63,1009,63,1009,980,10000,2.51,56,3.7,14,Clouds,few clouds,02d,25200
Rostov-on-Don,RU,39.7139,47.2364,20.44,20.42,20.44,20.44,1012,72,1012,1006,10000,2.11,21,2.6,25,Clouds,scattered clouds,03d,10800
Ufa,RU,56.0375,54.775,15.19,15.09,15.19,15.19,999,89,999,986,10000,4.15,254,7.56,73,Clouds,broken clouds,04d,18000
Volgograd,RU,44.5018,48.7194,19.02,19.09,19.02,19.02,1010,81,1010,1003,10000,3.54,316,6.84,1,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,14.55,14.57,14.55,14.55,994,96,994,977,10000,0.52,241,0.74,100,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,13.52,12.76,13.52,13.52,1015,70,1015,999,10000,2.62,331,6.26,88,Clouds,overcast clouds,04d,10800
Krasnodar,RU,40.0,45.0,17.25,17.41,17.25,17.25,1013,91,1013,1002,10000,1.77,235,1.83,17,Clouds,few clouds,02d,10800
Saratov,RU,46.0333,51.5667,14.85,14.95,14.85,14.85,1009,98,1009,1001,10000,4.98,342,9.49,42,Clouds,scattered clouds,03d,14400
Tyumen,RU,65.5272,57.1522,18.59,18.96,18.59,18.59,1000,94,1000,991,10000,3.13,137,8.8,100,Clouds,overcast clouds,04d,18000
Tolyatti,RU,49.3461,53.5303,16.01,15.73,16.01,16.01,1005,79,1005,998,10000,5.32,317,10.28,30,Clouds,scattered clouds,03d,14400
Izhevsk,RU,53.2333,56.85,15.63,15.78,15.63,15.63,997,97,997,981,10000,1.34,291,3.13,100,Rain,light rain,10d,14400
London,GB,-0.1257,51.5085,22.16,22.62,21.11,22.83,1016,84,1016,1012,10000,1.5,50,1.54,0,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,24.38,24.73,23.6,25.68,1017,71,1017,1007,10000,2.31,127,7.8,0,Clear,clear sky,01n,7200
Berlin,DE,13.4105,52.5244,18.54,17.76,17.19,20.09,1020,50,1020,1014,10000,2.68,71,2.68,72,Clouds,broken clouds,04n,7200
Madrid,ES,-3.7026,40.4165,27.34,26.77,25.36,27.97,1016,33,1016,943,10000,1.34,60,3.13,79,Clouds,broken clouds,04n,7200
Rome,US,-85.1647,34.257,19.8,20.08,19.03,20.56,1020,86,1020,993,10000,1.43,350,2.55,0,Clear,clear sky,01n,-14400
Amsterdam,NL,4.8897,52.374,20.74,21.04,19.93,22.16,1018,83,1018,1018,10000,1.34,61,1.34,60,Clouds,broken clouds,04n,7200
Brussels,BE,4.3488,50.8504,19.65,20.02,18.98,20.4,1018,90,1018,1011,10000,1.97,130,2.07,15,Clouds,few clouds,02n,7200
Vienna,AT,16.3721,48.2085,19.13,19.06,16.22,19.98,1020,75,1020,993,10000,1.34,327,1.79,5,Clear,clear sky,01n,7200
Prague,CZ,14.4208,50.088,17.56,17.38,15.82,19.05,1021,77,1021,986,10000,0.89,262,1.34,1,Clear,clear sky,01n,7200
Warsaw,PL,21.0118,52.2298,15.54,15.11,12.73,16.55,1020,75,1020,1008,10000,1.08,276,1.05,3,Clear,clear sky,01d,7200
Budapest,HU,19.0399,47.498,22.2,22.12,19.48,23.34,1018,63,1018,996,10000,0.89,12,2.68,47,Clouds,scattered clouds,03n,7200
Lisbon,PT,-9.1333,38.7167,20.0,20.35,18.69,21.39,1014,88,1014,1006,10000,0.45,190,3.13,19,Clouds,few clouds,02n,3600
Stockholm,SE,18.0649,59.3326,14.8,14.63,14.5,15.59,1013,88,1013,1009,10000,2.18,251,6.27,100,Rain,light rain,10d,7200
Oslo,NO,10.7461,59.9127,14.2,14.13,13.29,14.2,1013,94,1013,989,10000,0.73,330,0.81,100,Clouds,overcast clouds,04d,7200
Copenhagen,DK,12.5655,55.6759,13.97,13.56,13.97,13.97,1019,82,1019,1018,10000,1.82,257,1.95,72,Clouds,broken clouds,04d,7200
