city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,12.41,11.8,12.41,12.41,1007,80,1007,988,10000,4.59,223,7.1,56,Clouds,broken clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,15.03,14.94,15.03,15.03,995,90,995,993,10000,0.45,344,1.34,100,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,25.49,25.45,25.49,25.49,1016,52,1016,997,10000,2.12,68,2.37,7,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,23.21,23.1,23.21,23.21,1014,58,1014,981,10000,3.24,286,3.99,4,Clear,clear sky,01d,18000
Kazan,RU,49.1221,55.7887,19.26,18.86,19.26,19.26,1014,62,1014,1000,10000,4.17,195,6.26,12,Clouds,few clouds,02d,10800
Vladimir,RU,40.3966,56.1366,14.35,13.9,14.35,14.35,1008,79,1008,991,10000,5.08,206,7.92,40,Clouds,scattered clouds,03d,10800
Nizhny Novgorod,RU,44.002,56.3287,17.25,16.81,17.25,17.25,1010,68,1010,1000,10000,5.31,200,8.03,14,Clouds,few clouds,02d,10800
Samara,RU,50.0,53.0,20.45,20.04,20.45,20.45,1015,57,1015,1006,10000,3.41,163,4.7,86,Clouds,overcast clouds,04d,14400
Omsk,RU,73.4,55.0,25.46,25.65,25.46,25.46,1014,61,1014,1003,10000,2.44,137,2.56,56,Clouds,broken clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,21.59,21.11,21.59,21.59,1013,50,1013,984,10000,5.52,358,7.53,8,Rain,light rain,10d,25200
Rostov-on-Don,RU,39.7139,47.2364,19.53,19.44,19.53,19.53,1019,73,1019,1013,10000,2.68,284,4.54,18,Clouds,few clouds,02d,10800
Ufa,RU,56.0375,54.775,20.37,20.16,20.37,20.37,1016,65,1016,1003,10000,1.32,357,1.55,67,Clouds,broken clouds,04d,18000
Volgograd,RU,44.5018,48.7194,18.98,18.55,18.98,18.98,1017,62,1017,1010,10000,3.65,278,5.49,87,Clouds,overcast clouds,04d,10800
Perm,RU,56.2855,58.0174,20.91,20.44,20.91,20.91,1015,53,1015,997,10000,2.56,274,3.89,25,Clouds,scattered clouds,03d,18000
Voronezh,RU,39.17,51.6664,15.61,15.13,15.61,15.61,1014,73,1014,998,10000,4.52,244,7.46,1,Clear,clear sky,01d,10800
Krasnodar,RU,40.0,45.0,19.34,19.5,19.34,19.34,1021,83,1021,1010,10000,2.16,240,2.79,33,Clouds,scattered clouds,03d,10800
Saratov,RU,46.0333,51.5667,14.85,14.95,14.85,14.85,1015,98,1015,1007,10000,2.53,330,4.13,100,Rain,moderate rain,10d,14400
Tyumen,RU,65.5272,57.1522,23.17,23.4,23.17,23.17,1013,71,1013,1003,10000,1.0,206,1.2,35,Rain,light rain,10d,18000
Tolyatti,RU,49.3461,53.5303,17.42,17.07,17.42,17.42,1015,71,1015,1008,10000,3.47,202,4.63,81,Clouds,broken clouds,04d,14400
Izhevsk,RU,53.2333,56.85,20.63,20.47,20.63,20.63,1015,66,1015,999,10000,2.29,209,3.07,19,Clouds,few clouds,02d,14400
London,GB,-0.1257,51.5085,17.52,17.63,16.7,18.33,1016,88,1016,1012,10000,2.24,265,7.6,93,Clouds,overcast clouds,04d,3600
Paris,FR,2.3488,48.8534,17.38,17.34,15.59,18.41,1020,83,1020,1010,10000,0.48,142,0.74,43,Clouds,scattered clouds,03d,7200
Berlin,DE,13.4105,52.5244,12.18,11.46,9.97,12.87,1018,77,1018,1013,10000,2.24,70,,65,Clouds,broken clouds,04d,7200
Madrid,ES,-3.7026,40.4165,21.79,21.33,20.67,22.41,1019,50,1019,946,10000,1.79,54,3.13,2,Clear,clear sky,01n,7200
Rome,US,-85.1647,34.257,20.3,20.87,19.44,21.53,1011,95,1011,985,10000,1.13,226,2.19,100,Clouds,overcast clouds,04n,-14400
Amsterdam,NL,4.8897,52.374,16.42,16.28,15.0,17.16,1017,83,1017,1017,10000,3.13,281,4.47,100,Clouds,overcast clouds,04d,7200
Brussels,BE,4.3488,50.8504,16.22,16.14,15.09,17.17,1019,86,1019,1012,10000,3.57,220,7.38,95,Clouds,overcast clouds,04d,7200
Vienna,AT,16.3721,48.2085,16.97,17.02,15.49,18.37,1018,88,1018,992,10000,0.45,321,1.34,79,Rain,moderate rain,10d,7200
Prague,CZ,14.4208,50.088,15.01,14.97,14.15,16.04,1018,92,1018,984,10000,1.79,155,2.24,40,Clouds,scattered clouds,03d,7200
Warsaw,PL,21.0118,52.2298,11.86,11.16,10.36,13.15,1015,79,1015,1004,10000,3.0,307,4.96,66,Clouds,broken clouds,04d,7200
Budapest,HU,19.0399,47.498,20.73,20.43,19.51,21.68,1018,60,1018,997,10000,1.34,325,2.24,96,Clouds,overcast clouds,04d,7200
Lisbon,PT,-9.1333,38.7167,17.24,17.27,16.97,18.64,1017,86,1017,1009,10000,4.47,190,6.71,0,Clear,clear sky,01n,3600
Stockholm,SE,18.0649,59.3326,14.8,14.37,13.47,15.59,1009,78,1009,1005,10000,1.34,270,4.02,51,Clouds,broken clouds,04d,7200
Oslo,NO,10.7461,59.9127,14.75,13.8,10.52,14.75,1012,58,1012,988,10000,0.78,82,1.14,37,Clouds,scattered clouds,03d,7200
Copenhagen,DK,12.5655,55.6759,12.3,11.62,12.3,12.3,1016,78,1016,1015,10000,3.75,271,6.26,44,Clouds,scattered clouds,03d,7200
Helsinki,FI,24.9355,60.1695,13.06,12.59,12.43,13.91,1000,83,1000,998,10000,8.94,295,10.73,100,Rain,light rain,10d,10800
Athens,GR,23.7162,37.9795,24.91,24.97,23.94,25.76,1016,58,1016,993,10000,1.34,307,2.24,40,Clouds,scattered clouds,03d,10800
Dublin,US,-121.9358,37.7021,15.67,15.33,14.07,16.58,1013,78,1013,987,10000,1.79,222,7.6,2,Clear,clear sky,01n,-25200
Zurich,CH,8.55,47.3667,18.03,17.69,15.46,18.86,1021,69,1021,963,10000,0.54,171,0.73,58,Clouds,broken clouds,04d,7200
Barcelona,ES,2.159,41.3888,23.93,23.48,22.58,24.75,1019,42,1019,1011,10000,2.14,278,2.38,3,Clear,clear sky,01d,7200
Beijing,CN,116.3972,39.9075,31.58,31.08,31.58,31.58,1007,36,1007,1002,10000,1.24,53,1.27,0,Clear,clear sky,01d,28800
Shanghai,CN,121.4581,31.2222,32.27,32.67,32.27,32.27,1007,40,1007,1006,10000,1.53,65,1.5,100,Clouds,overcast clouds,04d,28800
Shenzhen,CN,114.0683,22.5455,28.24,34.14,27.93,28.25,1009,88,1009,1000,4884,3.91,178,8.4,100,Clouds,overcast clouds,04d,28800
Guangzhou,CN,113.25,23.1167,27.59,30.84,27.59,27.59,1008,78,1008,1007,10000,6.04,170,7.62,100,Rain,light rain,10d,28800
Harbin,CN,126.65,45.75,19.37,19.53,19.37,19.37,1007,83,1007,991,10000,3.61,202,4.76,100,Clouds,overcast clouds,04d,28800
Tokyo,JP,139.6917,35.6895,28.22,28.61,27.1,29.25,1016,49,1016,1015,10000,0.89,65,4.02,78,Clouds,broken clouds,04d,32400
Seoul,KR,126.9778,37.5683,31.86,31.02,31.86,31.86,1009,33,1009,1000,10000,2.75,277,3.06,97,Clouds,overcast clouds,04d,32400
Bangkok,TH,100.5167,13.75,36.62,43.62,32.74,36.62,1010,52,1010,1009,10000,3.28,237,4.78,100,Clouds,overcast clouds,04d,25200
Singapore,SG,103.8501,1.2897,30.52,37.52,30.52,30.52,1011,75,1011,1011,10000,3.48,175,4.19,77,Rain,moderate rain,10d,28800
Hong Kong,HK,114.1577,22.2855,28.02,32.31,27.99,28.31,1009,81,1009,1004,4558,5.36,140,,100,Rain,light rain,10d,28800
Taipei,TW,121.5319,25.0478,26.69,25.78,26.69,26.69,1011,16,1011,991,10000,0.99,310,1.09,100,Clouds,overcast clouds,04d,28800
Kuala Lumpur,MY,101.6865,3.1431,30.37,37.37,29.56,32.47,1013,83,1013,999,8662,1.62,184,2.42,90,Rain,moderate rain,10d,28800
Jakarta,ID,106.8451,-6.2146,32.33,34.24,31.28,33.5,1012,47,1012,1008,10000,3.58,72,4.47,54,Clouds,broken clouds,04d,25200
Manila,PH,120.9822,14.6042,33.96,40.96,33.96,35.06,1011,72,1011,1014,10000,3.13,23,8.94,87,Clouds,overcast clouds,04d,28800
Hanoi,VN,105.8412,21.0245,32.42,38.74,32.42,32.42,1004,62,1004,1003,10000,1.88,257,2.53,99,Clouds,overcast clouds,04d,25200
New York,US,-74.006,40.7143,18.79,18.79,16.99,19.63,1010,79,1010,1009,10000,3.58,167,4.47,96,Clouds,overcast clouds,04n,-14400
Los Angeles,US,-118.2437,34.0522,17.47,17.13,15.56,19.92,1013,71,1013,994,10000,2.57,200,2.67,0,Clear,clear sky,01n,-25200
Chicago,US,-87.65,41.85,17.5,17.16,15.63,18.35,1004,71,1004,983,10000,0.45,277,1.34,40,Clouds,scattered clouds,03n,-18000
Houston,US,-95.3633,29.7633,25.83,26.92,25.03,26.19,1008,94,1008,1006,10000,1.34,127,4.02,100,Rain,moderate rain,10n,-18000
Phoenix,US,-112.074,33.4484,37.74,36.54,36.11,38.84,1005,21,1005,964,10000,0.45,169,2.24,14,Clouds,few clouds,02n,-25200
Toronto,CA,-79.4163,43.7001,15.59,15.29,14.49,16.25,1005,80,1005,989,10000,2.24,283,4.02,100,Rain,light rain,10n,-14400
Vancouver,CA,-123.1193,49.2497,17.85,17.49,17.36,18.46,1015,69,1015,1006,10000,5.36,250,,0,Clear,clear sky,01n,-25200
Montreal,CA,-73.5878,45.5088,14.8,14.16,14.37,15.04,1008,70,1008,1004,10000,2.04,197,4.86,35,Clouds,scattered clouds,03n,-14400
