city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,11.3,11.07,11.3,11.3,1003,99,1003,984,10000,4.75,241,9.28,100,Rain,light rain,10d,10800
Saint Petersburg,RU,30.2642,59.8944,15.03,14.86,15.03,15.03,999,87,999,998,10000,2.21,298,4.4,84,Clouds,broken clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,21.67,21.46,21.67,21.67,1011,60,1011,992,10000,2.37,10,3.25,0,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,17.15,17.24,17.15,17.15,1008,89,1008,976,10000,1.65,114,2.76,80,Rain,light rain,10d,18000
Kazan,RU,49.1221,55.7887,18.58,18.61,18.58,18.58,1004,81,1004,991,10000,3.82,241,7.73,99,Clouds,overcast clouds,04d,10800
Vladimir,RU,40.3966,56.1366,11.63,11.36,11.63,11.63,1002,96,1002,985,10000,6.32,233,11.03,99,Rain,light rain,10d,10800
Nizhny Novgorod,RU,44.002,56.3287,13.02,12.57,13.02,13.02,1003,84,1003,992,10000,6.84,229,11.56,47,Clouds,scattered clouds,03d,10800
Samara,RU,50.0,53.0,17.81,17.79,17.81,17.81,1008,82,1008,999,10000,3.31,248,5.29,0,Clear,clear sky,01d,14400
Omsk,RU,73.4,55.0,21.95,22.11,21.95,21.95,1010,73,1010,999,10000,2.58,96,3.48,100,Clouds,overcast clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,18.35,18.33,18.35,18.35,1005,80,1005,976,7186,4.19,300,5.75,100,Rain,moderate rain,10d,25200
Rostov-on-Don,RU,39.7139,47.2364,17.84,17.98,17.84,17.84,1015,88,1015,1009,10000,1.89,221,3.48,99,Rain,light rain,10d,10800
Ufa,RU,56.0375,54.775,18.44,18.48,18.44,18.44,1007,82,1007,993,10000,2.38,167,3.13,17,Clouds,few clouds,02d,18000
Volgograd,RU,44.5018,48.7194,18.27,18.19,18.27,18.27,1013,78,1013,1006,10000,5.19,276,8.09,61,Clouds,broken clouds,04d,10800
Perm,RU,56.2855,58.0174,17.47,17.54,17.47,17.47,1006,87,1006,988,10000,2.67,147,4.26,46,Clouds,scattered clouds,03d,18000
Voronezh,RU,39.17,51.6664,12.45,11.92,12.45,12.45,1011,83,1011,996,10000,3.21,234,8.13,26,Clouds,scattered clouds,03d,10800
Krasnodar,RU,40.0,45.0,15.54,15.45,15.54,15.54,1018,88,1018,1007,10000,2.67,198,5.36,76,Clouds,broken clouds,04d,10800
Saratov,RU,46.0333,51.5667,16.52,16.53,16.52,16.52,1010,88,1010,1002,10000,4.79,285,6.82,60,Clouds,broken clouds,04d,14400
Tyumen,RU,65.5272,57.1522,20.27,20.49,20.27,20.27,1009,82,1009,999,10000,2.67,112,3.8,76,Clouds,broken clouds,04d,18000
Tolyatti,RU,49.3461,53.5303,16.29,16.22,16.29,16.29,1007,86,1007,1000,10000,3.54,220,4.79,1,Clear,clear sky,01d,14400
Izhevsk,RU,53.2333,56.85,18.4,18.72,18.4,18.4,1004,93,1004,989,10000,2.18,181,3.54,63,Clouds,broken clouds,04d,14400
London,GB,-0.1257,51.5085,15.02,14.85,14.45,16.12,1012,87,1012,1008,10000,1.41,242,2.99,94,Clouds,overcast clouds,04n,3600
Paris,FR,2.3488,48.8534,19.76,19.7,19.58,20.04,1013,73,1013,1004,10000,0.64,300,1.18,99,Clouds,overcast clouds,04n,7200
Berlin,DE,13.4105,52.5244,8.87,7.11,7.75,10.01,1014,78,1014,1009,10000,3.08,263,7.71,2,Clear,clear sky,01n,7200
Madrid,ES,-3.7026,40.4165,20.89,20.58,17.99,21.3,1016,59,1016,942,10000,1.79,70,4.02,7,Clear,clear sky,01n,7200
Rome,US,-85.1647,34.257,22.06,22.49,21.29,22.71,1014,83,1014,988,10000,1.34,300,2.45,100,Clouds,overcast clouds,04n,-14400
Amsterdam,NL,4.8897,52.374,12.74,11.9,11.59,13.33,1013,70,1013,1013,10000,1.79,75,3.13,100,Clouds,overcast clouds,04n,7200
Brussels,BE,4.3488,50.8504,16.35,16.18,14.88,17.03,1013,82,1013,1006,10000,4.42,224,11.22,100,Clouds,overcast clouds,04n,7200
Vienna,AT,16.3721,48.2085,12.35,11.62,9.37,13.49,1018,76,1018,991,10000,0.89,345,2.68,0,Clear,clear sky,01n,7200
