city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,19.08,18.92,17.97,19.08,1007,72,1007,988,10000.0,3.89,74,8.06,100,Rain,moderate rain,10d,10800
Saint Petersburg,RU,30.2642,59.8944,16.14,16.26,16.14,16.14,1003,94,1003,1002,10000.0,2.21,167,4.68,60,Clouds,broken clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,20.99,21.13,20.99,20.99,1007,76,1007,988,10000.0,5.57,185,8.06,69,Clouds,broken clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,17.39,17.43,17.39,17.39,1004,86,1004,971,10000.0,3.41,325,8.26,6,Clear,clear sky,01d,18000
Kazan,RU,49.1221,55.7887,18.1,18.03,18.1,18.1,1007,79,1007,994,10000.0,3.24,326,5.31,0,Clear,clear sky,01d,10800
Vladimir,RU,40.3966,56.1366,16.15,15.81,16.15,16.15,1007,76,1007,991,10000.0,2.14,75,3.89,79,Clouds,broken clouds,04d,10800
Nizhny Novgorod,RU,44.002,56.3287,17.63,17.25,17.63,17.63,1008,69,1008,998,10000.0,1.18,43,1.49,5,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,20.23,20.27,20.23,20.23,1007,75,1007,998,10000.0,3.36,226,6.94,17,Clouds,few clouds,02d,14400
Omsk,RU,73.4,55.0,19.57,19.57,19.57,19.57,1000,76,1000,989,10000.0,5.47,195,7.76,37,Clouds,scattered clouds,03d,21600
Krasnoyarsk,RU,92.7917,56.0097,26.64,26.64,26.64,26.64,1007,51,1007,980,10000.0,3.47,109,5.76,100,Clouds,overcast clouds,04d,25200
Rostov-on-Don,RU,39.7139,47.2364,24.14,24.05,24.14,24.14,1005,55,1005,1000,10000.0,2.35,160,5.22,100,Clouds,overcast clouds,04d,10800
Ufa,RU,56.0375,54.775,18.9,18.86,18.9,18.9,1007,77,1007,993,10000.0,1.91,236,3.17,70,Clouds,broken clouds,04d,18000
Volgograd,RU,44.5018,48.7194,24.02,23.6,24.02,24.02,1007,43,1007,1000,10000.0,1.21,160,2.86,84,Clouds,broken clouds,04d,10800
Perm,RU,56.2855,58.0174,18.42,18.22,18.42,18.42,1005,73,1005,987,10000.0,0.79,210,1.12,99,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,21.49,21.84,21.49,21.49,1005,82,1005,990,10000.0,1.83,161,3.6,71,Clouds,broken clouds,04d,10800
Krasnodar,RU,40.0,45.0,19.1,19.52,19.1,19.1,1008,94,1008,998,10000.0,2.38,170,3.74,44,Rain,light rain,10d,10800
Saratov,RU,46.0333,51.5667,23.19,23.05,23.19,23.19,1008,57,1008,1000,10000.0,0.79,249,0.93,0,Clear,clear sky,01d,14400
Tyumen,RU,65.5272,57.1522,16.98,17.11,16.98,16.98,1000,91,1000,990,10000.0,4.11,356,7.22,93,Rain,light rain,10d,18000
Tolyatti,RU,49.3461,53.5303,19.11,19.19,19.11,19.11,1007,81,1007,1000,10000.0,1.81,211,1.63,53,Clouds,broken clouds,04d,14400
Izhevsk,RU,53.2333,56.85,20.63,20.89,20.63,20.63,1005,82,1005,989,10000.0,2.61,233,3.95,62,Clouds,broken clouds,04d,14400
London,GB,-0.1257,51.5085,16.48,16.22,14.95,17.23,1027,78,1027,1023,10000.0,4.02,313,5.81,0,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,15.25,14.66,13.93,15.7,1028,70,1028,1019,10000.0,1.42,358,2.19,0,Clear,clear sky,01n,7200
Berlin,DE,13.4105,52.5244,12.59,11.89,11.12,12.87,1022,76,1022,1017,10000.0,4.03,275,10.52,44,Clouds,scattered clouds,03d,7200
Madrid,ES,-3.7026,40.4165,23.73,23.39,21.62,24.4,1022,47,1022,949,10000.0,2.24,80,4.92,0,Clear,clear sky,01n,7200
Rome,US,-85.1647,34.257,21.94,22.67,21.6,22.78,1019,95,1019,992,10000.0,0.89,337,2.24,100,Clouds,overcast clouds,04n,-14400
Amsterdam,NL,4.8897,52.374,16.21,15.66,14.93,17.14,1025,68,1025,1025,10000.0,4.02,190,5.81,80,Clouds,broken clouds,04n,7200
Brussels,BE,4.3488,50.8504,11.05,10.56,9.9,12.11,1027,90,1027,1020,10000.0,3.24,221,5.19,7,Clear,clear sky,01n,7200
Vienna,AT,16.3721,48.2085,15.64,14.96,12.64,16.65,1024,65,1024,997,10000.0,0.89,310,2.24,7,Clear,clear sky,01n,7200
Prague,CZ,14.4208,50.088,13.18,12.46,11.92,13.75,1024,73,1024,990,10000.0,1.34,228,3.13,6,Clear,clear sky,01n,7200
Warsaw,PL,21.0118,52.2298,15.2,14.47,14.91,15.51,1016,65,1016,1005,10000.0,5.54,272,11.31,22,Clouds,few clouds,02d,7200
Budapest,HU,19.0399,47.498,17.21,16.32,16.55,17.79,1021,51,1021,1000,10000.0,1.79,323,4.02,13,Clouds,few clouds,02d,7200
Lisbon,PT,-9.1333,38.7167,23.21,22.94,23.21,24.24,1019,52,1019,1011,10000.0,0.89,323,0.9,6,Clear,clear sky,01n,3600
Stockholm,SE,18.0649,59.3326,14.65,14.6,14.03,15.03,1007,93,1007,1003,10000.0,0.89,270,2.68,99,Clouds,overcast clouds,04d,7200
Oslo,NO,10.7461,59.9127,10.52,9.22,10.52,10.52,1015,61,1015,990,10000.0,1.08,327,0.9,75,Clouds,broken clouds,04d,7200
Copenhagen,DK,12.5655,55.6759,13.41,12.95,13.41,13.41,1017,82,1017,1015,10000.0,7.75,290,12.24,67,Clouds,broken clouds,04d,7200
Helsinki,FI,24.9355,60.1695,14.2,14.26,13.31,14.93,1003,99,1003,1001,10000.0,1.79,6,3.13,10,Clear,clear sky,01d,10800
Athens,GR,23.7162,37.9795,27.24,28.47,26.17,28.33,1011,61,1011,988,10000.0,3.13,27,5.81,0,Clear,clear sky,01n,10800
Dublin,US,-121.9358,37.7021,20.55,20.33,16.29,21.77,1014,64,1014,989,10000.0,2.08,260,2.52,0,Clear,clear sky,01d,-25200
Zurich,CH,8.55,47.3667,14.26,13.67,13.8,14.91,1027,74,1027,969,10000.0,0.62,169,0.59,4,Clear,clear sky,01n,7200
Barcelona,ES,2.159,41.3888,24.76,24.57,22.86,25.39,1022,49,1022,1015,10000.0,0.89,290,1.79,0,Clear,clear sky,01n,7200
Beijing,CN,116.3972,39.9075,35.16,36.09,35.16,35.16,998,35,998,993,10000.0,3.52,199,4.35,98,Clouds,overcast clouds,04d,28800
Shanghai,CN,121.4581,31.2222,30.06,35.18,30.06,30.06,1008,70,1008,1008,10000.0,1.47,202,3.08,100,Clouds,overcast clouds,04d,28800
Shenzhen,CN,114.0683,22.5455,31.34,38.34,29.65,31.59,1010,80,1010,1002,10000.0,6.61,155,10.93,100,Clouds,overcast clouds,04d,28800
Guangzhou,CN,113.25,23.1167,29.29,34.21,29.29,29.29,1009,74,1009,1009,6283.0,6.27,155,9.31,100,Clouds,overcast clouds,04d,28800
Harbin,CN,126.65,45.75,28.7,29.87,28.7,28.7,999,55,999,984,10000.0,3.21,209,4.2,40,Clouds,scattered clouds,03d,28800
Tokyo,JP,139.6917,35.6895,27.19,28.82,25.37,27.69,1012,66,1012,1010,10000.0,1.34,158,2.68,100,Clouds,overcast clouds,04d,32400
Seoul,KR,126.9778,37.5683,26.88,28.28,26.88,26.88,1008,65,1008,999,10000.0,2.57,244,3.23,99,Clouds,overcast clouds,04d,32400
Bangkok,TH,100.5167,13.75,27.73,32.15,25.51,27.73,1008,85,1008,1008,10000.0,4.99,217,8.71,100,Clouds,overcast clouds,04d,25200
Singapore,SG,103.8501,1.2897,31.07,38.07,31.07,31.07,1011,75,1011,1011,10000.0,3.99,166,4.35,95,Clouds,overcast clouds,04d,28800
Hong Kong,HK,114.1577,22.2855,29.16,34.09,29.16,30.74,1010,75,1010,1005,10000.0,6.26,135,8.94,95,Clouds,overcast clouds,04d,28800
Taipei,TW,121.5319,25.0478,33.84,40.84,33.84,33.84,1010,58,1010,992,10000.0,1.79,310,4.92,16,Clouds,few clouds,02d,28800
Kuala Lumpur,MY,101.6865,3.1431,31.67,38.67,31.35,31.81,1011,77,1011,999,10000.0,1.44,163,2.27,100,Clouds,overcast clouds,04d,28800
Jakarta,ID,106.8451,-6.2146,31.78,34.44,31.28,32.39,1012,52,1012,1009,10000.0,3.58,111,4.47,3,Clear,clear sky,01d,25200
Manila,PH,120.9822,14.6042,32.4,39.4,31.74,33.95,1012,74,1012,1014,10000.0,2.68,305,13.41,5,Clear,clear sky,01d,28800
Hanoi,VN,105.8412,21.0245,31.76,37.11,31.76,31.76,1002,62,1002,1001,10000.0,5.63,4,7.5,96,Clouds,overcast clouds,04d,25200
New York,US,-74.006,40.7143,25.68,26.18,23.9,27.34,1013,72,1013,1012,10000.0,1.34,293,3.58,74,Clouds,broken clouds,04n,-14400
Los Angeles,US,-118.2437,34.0522,19.88,19.91,17.78,22.58,1016,76,1016,997,10000.0,1.81,207,1.93,80,Clouds,broken clouds,04n,-25200
Chicago,US,-87.65,41.85,22.34,23.03,21.69,23.34,1015,92,1015,993,10000.0,1.34,246,1.34,98,Rain,moderate rain,10n,-18000
Houston,US,-95.3633,29.7633,29.44,35.27,27.78,30.03,1016,77,1016,1013,10000.0,2.24,208,5.36,13,Clouds,few clouds,02n,-18000
Phoenix,US,-112.074,33.4484,35.69,32.95,34.08,36.98,1009,10,1009,967,10000.0,1.34,259,4.47,100,Clouds,overcast clouds,04n,-25200
Toronto,CA,-79.4163,43.7001,25.3,25.92,23.61,26.25,1013,78,1013,998,10000.0,1.34,304,3.03,11,Clouds,few clouds,02n,-14400
Vancouver,CA,-123.1193,49.2497,17.84,17.69,16.79,18.47,1017,77,1017,1009,10000.0,2.24,170,,100,Clouds,overcast clouds,04d,-25200
Montreal,CA,-73.5878,45.5088,23.7,24.16,22.36,23.97,1009,78,1009,1006,10000.0,3.15,255,9.3,3,Clear,clear sky,01n,-14400
Calgary,CA,-114.0853,51.0501,14.12,13.49,13.76,14.12,1012,73,1012,887,10000.0,1.47,143,1.46,4,Clear,clear sky,01n,-21600
Ottawa,CA,-75.6981,45.4112,23.09,23.8,22.29,23.19,1011,90,1011,1000,10000.0,2.46,275,3.51,20,Clouds,few clouds,02n,-14400
Sao Paulo,BR,-46.6361,-23.5475,16.43,16.48,15.81,18.58,1022,90,1022,931,10000.0,1.34,98,2.24,100,Clouds,overcast clouds,04n,-10800
Rio de Janeiro,BR,-43.2075,-22.9028,26.44,26.44,26.44,26.44,1020,86,1020,1022,10000.0,1.9,272,2.55,97,Clouds,overcast clouds,04n,-10800
Buenos Aires,AR,-58.3772,-34.6132,4.34,2.95,3.28,4.91,1029,78,1029,1028,10000.0,1.69,77,2.28,2,Clear,clear sky,01n,-10800
Lima,PE,-77.0282,-12.0432,20.5,20.8,20.5,20.5,1014,84,1014,987,10000.0,2.45,191,1.93,51,Clouds,broken clouds,04n,-18000
Bogota,CO,-74.0817,4.6097,9.49,9.21,8.98,9.82,1020,80,1020,739,10000.0,1.37,136,2.34,100,Clouds,overcast clouds,04n,-18000
Santiago,CL,-70.6483,-33.4569,7.15,7.15,7.14,8.19,1019,76,1019,931,10000.0,0.69,229,0.37,0,Clear,clear sky,01n,-14400
Caracas,VE,-66.8792,10.488,22.6,23.0,22.6,22.6,1016,80,1016,898,10000.0,0.89,32,1.34,100,Clouds,overcast clouds,04n,-14400
Quito,EC,-78.5249,-0.2299,11.65,10.72,11.65,11.65,1018,71,1018,725,10000.0,1.26,100,1.61,100,Clouds,overcast clouds,04n,-18000
Montevideo,UY,-56.1674,-34.8335,8.18,7.32,8.18,8.18,1029,83,1029,1026,10000.0,1.74,201,1.94,97,Clouds,overcast clouds,04n,-10800
La Paz,BO,-68.15,-16.5,3.16,3.16,3.16,3.16,1023,94,1023,622,10000.0,0.61,256,1.27,5,Clear,clear sky,01n,-14400
Cairo,EG,31.2497,30.0626,25.23,25.85,25.23,25.23,1012,78,1012,1005,10000.0,2.28,325,2.87,0,Clear,clear sky,01d,10800
Lagos,NG,3.75,6.5833,23.36,24.26,23.36,23.36,1015,96,1015,1015,10000.0,0.57,231,0.63,74,Clouds,broken clouds,04n,3600
Nairobi,KE,36.8167,-1.2833,15.43,15.27,15.43,15.43,1020,86,1020,840,10000.0,0.68,68,0.91,77,Clouds,broken clouds,04d,10800
Johannesburg,ZA,28.0436,-26.2023,6.14,5.43,6.14,6.14,1026,20,1026,831,10000.0,1.36,336,1.51,0,Clear,clear sky,01n,7200
Cape Town,ZA,18.4232,-33.9258,12.36,11.66,10.75,13.82,1022,77,1022,1021,10000.0,2.24,312,4.02,95,Clouds,overcast clouds,04n,7200
Casablanca,MA,-7.6192,33.5928,25.74,26.17,25.74,25.74,1014,69,1014,1006,10000.0,0.45,8,0.75,61,Clouds,broken clouds,04n,3600
Addis Ababa,ET,38.7469,9.025,17.99,17.41,17.99,17.99,1018,60,1018,774,10000.0,1.15,134,1.8,97,Clouds,overcast clouds,04d,10800
Dar es Salaam,TZ,39.2695,-6.8235,22.7,23.06,22.7,22.7,1020,78,1020,1017,10000.0,2.54,198,4.03,19,Clouds,few clouds,02d,10800
Accra,GH,-0.1969,5.556,24.69,25.46,24.69,24.69,1015,86,1015,1011,10000.0,4.49,218,6.27,99,Clouds,overcast clouds,04n,0
