city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,19.63,19.74,19.63,19.63,1016,80,1016,997,10000,2.63,309,6.49,0,Clear,clear sky,01d,10800
Saint Petersburg,RU,30.2642,59.8944,18.92,18.9,18.92,18.92,1018,78,1018,1017,10000,1.4,35,2.21,54,Clouds,broken clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,22.59,22.42,22.59,22.59,1010,58,1010,991,10000,1.68,281,2.26,4,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,17.47,17.07,17.47,17.47,1006,69,1006,973,10000,1.27,283,1.86,3,Clear,clear sky,01d,18000
Kazan,RU,49.1221,55.7887,16.55,16.11,16.55,16.55,1010,71,1010,997,10000,3.59,331,7.98,100,Clouds,overcast clouds,04d,10800
Vladimir,RU,40.3966,56.1366,18.26,18.31,18.26,18.26,1015,83,1015,999,10000,1.8,294,3.29,1,Clear,clear sky,01d,10800
Nizhny Novgorod,RU,44.002,56.3287,17.46,16.93,17.46,17.46,1014,64,1014,1003,10000,2.44,321,5.17,0,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,15.5,15.43,15.5,15.5,1009,89,1009,1000,10000,1.02,344,1.75,59,Clouds,broken clouds,04d,14400
Omsk,RU,73.4,55.0,21.01,20.73,21.01,21.01,1007,60,1007,996,10000,0.13,337,0.42,31,Clouds,scattered clouds,03d,21600
Krasnoyarsk,RU,92.7917,56.0097,24.53,24.74,24.53,24.53,1008,65,1008,980,10000,3.16,257,5.09,85,Rain,light rain,10d,25200
Rostov-on-Don,RU,39.7139,47.2364,19.67,19.31,19.67,19.67,1016,62,1016,1010,10000,2.08,15,4.11,0,Clear,clear sky,01d,10800
Ufa,RU,56.0375,54.775,15.47,15.14,15.47,15.47,1007,79,1007,993,10000,1.79,355,2.77,20,Clouds,few clouds,02d,18000
Volgograd,RU,44.5018,48.7194,19.07,18.6,19.07,19.07,1013,60,1013,1006,10000,5.69,337,10.29,0,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,16.31,16.5,16.31,16.31,1007,96,1007,989,10000,2.39,46,6.87,98,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,17.59,17.52,17.59,17.59,1017,81,1017,1002,10000,2.38,323,5.23,0,Clear,clear sky,01d,10800
Krasnodar,RU,40.0,45.0,19.52,19.67,19.52,19.52,1015,82,1015,1005,10000,1.51,133,1.48,30,Clouds,scattered clouds,03d,10800
Saratov,RU,46.0333,51.5667,17.08,16.93,17.08,17.08,1012,80,1012,1004,10000,4.94,340,9.0,36,Clouds,scattered clouds,03d,14400
Tyumen,RU,65.5272,57.1522,18.78,18.54,18.78,18.78,1006,70,1006,996,10000,0.92,24,1.03,83,Clouds,broken clouds,04d,18000
Tolyatti,RU,49.3461,53.5303,16.38,16.4,16.38,16.38,1009,89,1009,1002,10000,4.63,341,8.21,86,Clouds,overcast clouds,04d,14400
Izhevsk,RU,53.2333,56.85,17.29,17.37,17.29,17.29,1007,88,1007,991,10000,2.9,9,4.76,64,Clouds,broken clouds,04d,14400
London,GB,-0.1257,51.5085,16.66,16.55,15.03,17.27,1021,83,1021,1017,10000,1.34,199,3.13,0,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,17.86,17.4,16.71,17.92,1023,65,1023,1013,10000,1.79,25,3.13,0,Clear,clear sky,01n,7200
Berlin,DE,13.4105,52.5244,18.75,19.03,17.75,19.36,1018,90,1018,1012,10000,2.72,3,4.32,94,Clouds,overcast clouds,04d,7200
Madrid,ES,-3.7026,40.4165,24.39,24.29,23.45,24.65,1019,54,1019,946,10000,2.24,45,6.26,18,Clouds,few clouds,02n,7200
Rome,US,-85.1647,34.257,27.08,30.22,26.65,28.05,1018,83,1018,992,10000,1.06,146,1.0,41,Clouds,scattered clouds,03n,-14400
Amsterdam,NL,4.8897,52.374,13.63,13.35,12.17,15.5,1020,88,1020,1020,10000,0.45,43,0.89,7,Clear,clear sky,01n,7200
