city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Lagos,NG,3.75,6.5833,28.78,33.35,28.78,28.78,1014,76,1014,1014,10000,3.15,182,3.8,91,Rain,moderate rain,10d,3600
Nairobi,KE,36.8167,-1.2833,20.83,20.46,20.83,20.83,1017,57,1017,840,10000,4.34,120,3.78,97,Clouds,overcast clouds,04d,10800
Johannesburg,ZA,28.0436,-26.2023,18.57,18.13,17.08,18.8,1022,63,1022,834,10000,0.89,54,2.68,0,Clear,clear sky,01d,7200
Cape Town,ZA,18.4232,-33.9258,14.88,14.54,14.38,15.62,1022,81,1022,1020,10000,3.13,321,7.15,7,Rain,light rain,10d,7200
Casablanca,MA,-7.6192,33.5928,24.07,24.1,24.07,24.07,1018,60,1018,1009,10000,2.68,340,,31,Clouds,scattered clouds,03d,3600
Addis Ababa,ET,38.7469,9.025,23.06,22.23,23.06,23.06,1013,31,1013,773,10000,5.83,62,7.14,81,Clouds,broken clouds,04d,10800
Dar es Salaam,TZ,39.2695,-6.8235,28.97,29.87,28.97,28.97,1017,52,1017,1015,10000,5.9,153,7.25,65,Clouds,broken clouds,04d,10800
Accra,GH,-0.1969,5.556,28.66,32.34,28.66,28.66,1014,72,1014,1011,10000,4.39,221,4.29,73,Clouds,broken clouds,04d,0
Tunis,TN,9.0,34.0,32.59,30.93,32.59,32.59,1016,25,1016,1005,10000,0.78,150,0.91,0,Clear,clear sky,01d,3600
Sydney,AU,151.2073,-33.8679,15.97,15.61,15.17,16.51,1032,76,1032,1027,10000,1.79,161,5.36,71,Clouds,broken clouds,04n,36000
Melbourne,US,-80.6081,28.0836,25.84,26.54,24.47,26.14,1016,79,1016,1016,10000,2.68,232,3.58,100,Clouds,overcast clouds,04d,-14400
Brisbane,AU,153.0281,-27.4679,15.58,15.52,14.12,16.76,1028,89,1028,1022,10000,1.79,101,2.24,92,Clouds,overcast clouds,04n,36000
Auckland,NZ,174.7667,-36.8667,10.95,9.95,9.67,11.82,1031,71,1031,1027,10000,1.46,294,2.32,10,Clear,clear sky,01n,43200
Wellington,NZ,174.7756,-41.2866,13.55,13.26,12.73,14.81,1022,88,1022,1010,10000,10.73,332,18.33,12,Clouds,few clouds,02n,43200
Dubai,AE,55.3047,25.2582,33.53,40.53,33.53,33.53,1001,60,1001,1000,10000,5.52,340,5.52,0,Clear,clear sky,01d,14400
Doha,QA,51.5333,25.2867,39.69,40.94,39.69,39.69,1001,26,1001,1000,10000,7.16,33,8.57,4,Clear,clear sky,01d,10800
Riyadh,SA,46.7219,24.6877,43.58,39.13,43.58,43.58,1002,5,1002,933,10000,2.7,266,3.65,0,Clear,clear sky,01d,10800
Abu Dhabi,AE,54.3667,24.4667,33.42,39.86,33.42,33.42,1000,58,1000,1000,10000,5.83,340,5.99,0,Clear,clear sky,01d,14400
Muscat,OM,58.5922,23.6139,36.29,40.48,36.29,36.29,1001,42,1001,992,10000,1.61,52,2.86,0,Clear,clear sky,01d,14400
Istanbul,TR,28.9833,41.0351,24.32,24.22,23.53,27.77,1015,54,1015,1006,10000,1.03,236,3.2,0,Clear,clear sky,01d,10800
Ankara,TR,32.8543,39.9199,20.67,20.36,20.67,23.47,1011,60,1011,892,10000,2.68,329,3.58,47,Clouds,scattered clouds,03d,10800
Tehran,IR,51.4215,35.6944,33.73,31.22,33.73,33.73,1003,9,1003,857,10000,4.02,280,,0,Clear,clear sky,01d,12600
Baghdad,IQ,44.4009,33.3406,40.38,37.56,40.38,40.38,1002,11,1002,998,10000,7.88,267,10.01,0,Clear,clear sky,01d,10800
Amman,JO,35.945,31.9552,26.48,26.48,26.48,26.48,1010,29,1010,920,10000,7.26,277,8.12,0,Clear,clear sky,01d,10800
Mumbai,IN,72.8479,19.0144,31.11,38.11,31.11,31.11,1007,71,1007,1007,10000,7.6,275,8.16,47,Clouds,scattered clouds,03d,19800
Delhi,IN,77.2167,28.6667,41.34,40.61,41.34,41.34,997,18,997,973,10000,4.31,303,7.37,0,Clear,clear sky,01d,19800
Bangalore,IN,77.6033,12.9762,27.66,30.26,27.14,29.08,1009,72,1009,912,10000,6.01,296,7.91,100,Rain,light rain,10d,19800
Chennai,IN,80.2785,13.0878,35.61,42.61,35.05,35.61,1005,60,1005,1004,10000,4.55,106,5.32,96,Clouds,overcast clouds,04d,19800
Kolkata,IN,88.3697,22.5697,30.5,36.29,30.5,30.5,1000,70,1000,1000,10000,4.68,27,5.16,80,Clouds,broken clouds,04d,19800
Islamabad,PK,73.1338,33.7104,35.47,38.43,35.47,35.47,1000,41,1000,921,10000,1.66,353,2.55,39,Clouds,scattered clouds,03d,18000
Lahore,PK,74.3436,31.5497,39.71,38.97,39.71,39.71,998,20,998,975,10000,2.63,355,3.43,0,Clear,clear sky,01d,18000
Dhaka,BD,90.4074,23.7104,30.19,36.28,30.19,30.19,1001,73,1001,1000,10000,5.37,172,6.72,92,Clouds,overcast clouds,04d,21600
Colombo,LK,79.8478,6.9319,29.46,35.33,29.46,29.46,1010,77,1010,1009,10000,6.39,249,9.25,81,Clouds,broken clouds,04d,19800
Kathmandu,NP,85.3167,27.7167,25.73,25.9,25.73,25.73,1003,59,1003,845,10000,1.47,182,1.65,73,Clouds,broken clouds,04d,20700
Murmansk,RU,34.0,68.0,9.69,6.64,9.69,9.69,1014,68,1014,982,10000,6.68,69,9.72,100,Clouds,overcast clouds,04n,10800
Arkhangelsk,RU,40.5433,64.5401,24.19,23.89,24.19,24.19,1004,47,1004,1003,10000,1.9,213,3.47,76,Clouds,broken clouds,04d,10800
Sochi,RU,39.7303,43.6,22.18,22.15,22.18,22.18,1011,65,1011,996,10000,3.86,172,3.92,100,Clouds,overcast clouds,04d,10800
Vladivostok,RU,131.8735,43.1056,14.53,14.44,14.53,14.53,1016,92,1016,1014,10000,2.5,45,4.07,98,Clouds,overcast clouds,04n,36000
Irkutsk,RU,104.2964,52.2978,19.31,18.73,19.31,19.31,1008,55,1008,959,10000,2.56,149,5.05,65,Clouds,broken clouds,04d,28800
Yakutsk,RU,129.7331,62.0339,14.43,13.57,14.43,14.43,1008,63,1008,997,10000,0.78,321,0.84,80,Clouds,broken clouds,04d,32400
Petropavlovsk-Kamchatsky,RU,158.6483,53.0452,6.29,6.29,6.29,6.29,1024,94,1024,1007,10000,1.18,127,1.42,60,Clouds,broken clouds,04n,43200
Kaliningrad,RU,20.511,54.7065,14.0,13.73,14.0,14.0,1001,87,1001,998,10000,6.46,253,8.87,100,Clouds,overcast clouds,04d,7200
Smolensk,RU,33.0,55.0,17.97,17.68,17.97,17.97,1004,71,1004,980,10000,2.99,198,6.24,93,Rain,light rain,10d,10800
Tver,RU,35.8931,56.8619,21.01,20.39,21.01,21.01,1004,47,1004,986,10000,1.4,334,1.99,90,Clouds,overcast clouds,04d,10800
Munich,DE,11.5755,48.1374,18.92,18.41,17.96,19.58,1015,59,1015,953,10000,3.13,296,5.36,96,Clouds,overcast clouds,04d,7200
Hamburg,DE,10.0,53.55,17.12,16.87,16.27,17.38,1009,76,1009,1007,10000,8.18,294,11.95,51,Clouds,broken clouds,04d,7200
Milan,IT,9.1895,45.4643,27.96,29.73,26.75,29.69,1012,63,1012,997,10000,2.24,285,3.13,90,Clouds,overcast clouds,04d,7200
Naples,IT,14.25,40.8333,27.49,28.21,25.97,28.4,1017,54,1017,1013,10000,1.79,182,5.36,10,Clear,clear sky,01d,7200
Valencia,ES,-0.8333,39.3333,28.63,27.63,28.63,28.63,1014,31,1014,957,10000,3.5,114,2.91,16,Clouds,few clouds,02d,7200
Seville,ES,-5.9761,37.3824,26.27,26.27,26.27,26.27,1016,35,1016,1013,10000,6.46,225,5.57,0,Clear,clear sky,01d,7200
Porto,PT,-8.611,41.1496,25.27,25.26,25.27,25.27,1016,54,1016,1008,10000,4.46,258,3.81,48,Clouds,scattered clouds,03d,3600
Lyon,FR,4.5833,45.75,26.37,26.37,25.83,26.38,1017,45,1017,957,10000,0.45,61,5.81,59,Clouds,broken clouds,04d,7200
Marseille,FR,5.5,43.3333,26.02,26.02,25.2,31.47,1013,54,1013,994,5760,2.86,214,3.59,88,Clouds,overcast clouds,04d,7200
Geneva,US,-88.3054,41.8875,15.66,15.61,15.08,16.81,1011,89,1011,984,10000,0.89,360,4.92,100,Rain,heavy intensity rain,10d,-18000
Osaka,JP,135.5022,34.6937,22.73,22.89,22.73,23.36,1015,70,1015,1011,10000,0.85,77,3.78,100,Rain,light rain,10n,32400
Nagoya,JP,136.9064,35.1815,23.31,23.63,23.31,23.31,1017,74,1017,1017,10000,0.45,190,1.34,100,Rain,light rain,10n,32400
Busan,KR,129.0403,35.1028,21.11,21.26,21.11,21.11,1012,76,1012,1008,10000,0.87,170,0.93,19,Clouds,few clouds,02n,32400
Incheon,KR,126.4161,37.45,19.44,19.71,19.44,19.44,1012,87,1012,1012,10000,4.88,357,5.49,18,Clouds,few clouds,02n,32400
Chiang Mai,TH,99.0,18.75,26.33,26.33,25.96,26.33,1006,89,1006,962,10000,1.73,202,3.26,86,Clouds,overcast clouds,04d,25200
Phuket,TH,98.25,8.0,31.72,38.72,31.72,31.72,1010,76,1010,1007,10000,3.22,279,4.69,100,Clouds,overcast clouds,04d,25200
Siem Reap,KH,104.0,13.5,28.83,33.47,28.83,28.83,1007,76,1007,999,10000,1.05,277,2.05,96,Clouds,overcast clouds,04n,25200
Vientiane,LA,102.6,17.9667,32.49,39.49,32.49,32.49,1005,71,1005,983,10000,2.43,291,3.45,86,Clouds,overcast clouds,04d,25200
Yangon,MM,96.1561,16.8053,27.34,30.29,27.34,27.34,1007,78,1007,1006,10000,3.93,251,7.86,92,Clouds,overcast clouds,04d,23400
Ulaanbaatar,MN,106.8832,47.9077,16.27,15.68,16.27,16.27,1008,66,1008,845,10000,1.22,31,0.71,69,Clouds,broken clouds,04d,28800
San Francisco,US,-122.4194,37.7749,13.99,13.53,12.85,15.24,1012,80,1012,1009,10000,4.02,296,6.71,34,Clouds,scattered clouds,03n,-25200
San Diego,US,-117.1573,32.7153,18.45,18.7,17.56,19.38,1013,90,1013,1008,10000,2.24,330,4.02,0,Clear,clear sky,01n,-25200
Dallas,US,-96.7836,32.7668,25.42,26.34,24.75,26.52,1014,89,1014,996,10000,0.45,58,2.68,34,Clouds,scattered clouds,03d,-18000
Miami,US,-80.1937,25.7743,26.79,29.28,25.0,27.79,1017,80,1017,1016,10000,2.36,184,2.73,4,Rain,light rain,10d,-14400
Boston,US,-71.0598,42.3584,21.7,21.7,20.21,23.03,1011,68,1011,1007,10000,1.34,180,4.47,100,Clouds,overcast clouds,04d,-14400
Philadelphia,US,-75.1638,39.9523,23.17,23.58,21.61,24.14,1012,78,1012,1008,10000,0.89,206,3.58,99,Clouds,overcast clouds,04d,-14400
Atlanta,US,-84.388,33.749,24.0,24.52,22.55,25.08,1015,79,1015,982,10000,0.89,273,5.36,85,Rain,moderate rain,10d,-14400
Detroit,US,-83.0458,42.3314,22.53,22.98,21.29,22.78,1007,82,1007,986,10000,2.74,259,6.25,96,Clouds,overcast clouds,04d,-14400
Seattle,US,-122.3321,47.6062,14.97,14.59,12.86,16.02,1020,79,1020,1011,10000,0.45,336,1.34,73,Clouds,broken clouds,04n,-25200
Denver,US,-104.9847,39.7392,12.17,11.01,11.17,12.8,1025,60,1025,844,10000,4.47,129,4.92,94,Clouds,overcast clouds,04d,-21600
Medellin,CO,-75.5636,6.2518,17.15,16.54,17.07,17.64,1018,62,1018,808,10000,0.89,86,1.79,88,Clouds,overcast clouds,04d,-18000
Cali,CO,-76.5225,3.4372,17.23,17.44,17.23,17.23,1016,93,1016,873,10000,0.45,235,0.45,95,Clouds,overcast clouds,04d,-18000
Guayaquil,EC,-79.9,-2.1667,24.41,25.33,24.41,24.41,1012,93,1012,1011,10000,1.25,240,2.62,26,Clouds,scattered clouds,03d,-18000
Asuncion,PY,-57.6359,-25.3007,14.03,13.84,14.03,14.03,1020,90,1020,1010,10000,1.79,182,2.68,100,Clouds,overcast clouds,04d,-10800
Sucre,BO,-65.2627,-19.0333,8.85,8.16,8.85,8.85,1021,77,1021,732,10000,1.67,16,2.03,68,Clouds,broken clouds,04d,-14400
Alexandria,EG,29.9553,31.2156,25.5,25.65,25.5,25.5,1013,59,1013,1013,10000,6.48,329,7.58,0,Clear,clear sky,01d,10800
Kinshasa,CD,15.3215,-4.3246,33.43,33.41,33.43,33.43,1012,35,1012,981,10000,2.01,205,2.39,58,Clouds,broken clouds,04d,3600
Luanda,AO,13.2343,-8.8368,25.15,25.47,25.15,25.15,1013,67,1013,1005,10000,5.14,267,4.97,27,Clouds,scattered clouds,03d,3600
Maputo,MZ,32.5892,-25.9653,23.62,23.66,23.62,23.62,1023,62,1023,1015,10000,3.65,46,4.62,22,Clouds,few clouds,02d,7200
Dakar,SN,-17.4441,14.6937,26.25,26.25,26.25,26.25,1015,79,1015,1015,10000,2.68,51,6.26,69,Clouds,broken clouds,04d,0
Perth,AU,115.8333,-31.9333,13.73,13.61,13.25,13.99,1016,94,1016,1013,10000,3.85,152,7.69,96,Clouds,overcast clouds,04n,28800
Adelaide,AU,138.6,-34.9333,11.38,10.27,10.05,12.28,1029,65,1029,1013,10000,3.13,101,5.81,59,Clouds,broken clouds,04n,34200
Christchurch,NZ,172.6333,-43.5333,9.97,8.29,9.97,9.97,1018,69,1018,1011,10000,3.33,21,5.38,0,Clear,clear sky,01n,43200
Port Moresby,PG,147.1797,-9.4431,22.52,22.81,22.52,22.52,1015,76,1015,1012,10000,4.95,131,6.87,80,Clouds,broken clouds,04n,36000
Suva,FJ,178.4415,-18.1416,22.31,22.95,22.31,22.31,1015,90,1015,1012,8881,9.66,74,14.27,100,Clouds,overcast clouds,04n,43200
Kuwait City,KW,47.9783,29.3697,37.1,39.53,37.1,37.1,1001,35,1001,999,10000,5.44,110,4.78,0,Clear,clear sky,01d,10800
Manama,BH,50.5832,26.2154,34.83,39.53,34.83,34.83,1002,48,1002,1001,10000,4.89,359,5.17,0,Clear,clear sky,01d,10800
Sanaa,YE,44.2067,15.3547,29.1,27.5,29.1,29.1,1011,6,1011,762,10000,8.61,49,6.59,69,Clouds,broken clouds,04d,10800
Damascus,SY,36.2913,33.5102,30.07,28.62,30.07,30.07,1007,27,1007,924,10000,0.45,288,0.45,0,Clear,clear sky,01d,10800
Beirut,LB,35.4944,33.8889,26.32,26.32,26.32,26.32,1010,75,1010,1004,10000,6.29,228,6.22,0,Clear,clear sky,01d,10800
Hyderabad,IN,78.4744,17.3753,32.22,33.39,32.22,32.22,1004,44,1004,942,10000,7.87,255,10.37,80,Clouds,broken clouds,04d,19800
Pune,IN,73.8553,18.5196,33.24,32.15,32.45,34.21,1008,29,1008,936,10000,2.24,262,,0,Clear,clear sky,01d,19800
Ahmedabad,IN,72.6167,23.0333,39.39,40.43,39.39,39.39,1002,26,1002,997,10000,7.41,287,7.86,0,Clear,clear sky,01d,19800
