city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,15.19,14.93,15.19,15.19,1001,83,1001,983,10000,3.86,227,7.89,100,Clouds,overcast clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,15.59,15.55,15.59,15.59,993,90,993,992,10000,0.8,304,1.0,73,Rain,moderate rain,10d,10800
Novosibirsk,RU,82.9344,55.0411,22.19,22.37,22.19,22.19,1009,73,1009,990,10000,3.08,270,3.82,87,Clouds,overcast clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,21.99,22.1,21.99,21.99,1011,71,1011,979,10000,1.02,249,1.28,5,Clear,clear sky,01d,18000
Kazan,RU,49.1221,55.7887,19.64,20.01,19.64,19.64,1005,90,1005,992,10000,4.15,228,6.6,83,Clouds,broken clouds,04d,10800
Vladimir,RU,40.3966,56.1366,13.53,13.29,13.53,13.53,1002,90,1002,985,10000,3.88,202,8.41,31,Clouds,scattered clouds,03d,10800
Nizhny Novgorod,RU,44.002,56.3287,16.04,15.79,16.04,16.04,1004,80,1004,993,10000,4.35,202,9.66,3,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,19.45,19.75,19.45,19.45,1008,88,1008,998,10000,3.47,261,5.59,14,Clouds,few clouds,02d,14400
Omsk,RU,73.4,55.0,22.46,22.62,22.46,22.46,1010,71,1010,999,10000,2.23,350,2.92,4,Clear,clear sky,01d,21600
Krasnoyarsk,RU,92.7917,56.0097,18.63,19.11,18.63,18.63,1002,98,1002,973,5943,2.4,327,6.16,100,Rain,moderate rain,10d,25200
Rostov-on-Don,RU,39.7139,47.2364,18.32,17.7,18.32,18.32,1013,57,1013,1008,10000,0.83,295,1.38,9,Clear,clear sky,01d,10800
Ufa,RU,56.0375,54.775,22.31,22.48,22.31,22.31,1010,72,1010,997,10000,2.52,152,4.26,14,Clouds,few clouds,02d,18000
Volgograd,RU,44.5018,48.7194,21.3,20.84,21.3,21.3,1012,52,1012,1005,10000,2.58,256,2.92,1,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,21.97,22.02,21.97,21.97,1010,69,1010,992,10000,3.29,149,5.86,100,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,15.18,14.89,15.18,15.18,1009,82,1009,994,10000,4.07,246,7.76,9,Clear,clear sky,01d,10800
Krasnodar,RU,40.0,45.0,17.71,17.36,17.71,17.71,1015,70,1015,1004,10000,1.34,193,1.26,0,Clear,clear sky,01d,10800
Saratov,RU,46.0333,51.5667,22.8,23.12,22.8,22.8,1010,76,1010,1002,10000,4.01,246,5.61,1,Clear,clear sky,01d,14400
