city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,15.19,15.01,15.19,15.19,1003,86,1003,985,10000.0,4.04,180,9.23,100,Clouds,overcast clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,11.7,11.3,11.7,11.7,998,91,998,995,10000.0,2.61,131,6.05,99,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,21.36,20.91,21.36,21.36,1011,52,1011,992,10000.0,5.53,20,7.75,0,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,21.16,21.58,21.16,21.16,1013,86,1013,980,10000.0,1.77,262,2.74,93,Clouds,overcast clouds,04d,18000
Kazan,RU,49.1221,55.7887,17.09,16.87,17.09,17.09,1014,77,1014,1001,10000.0,1.99,217,3.37,0,Clear,clear sky,01d,10800
Vladimir,RU,40.3966,56.1366,14.3,14.24,14.3,14.3,1006,94,1006,990,10000.0,5.5,170,12.03,98,Clouds,overcast clouds,04d,10800
Nizhny Novgorod,RU,44.002,56.3287,15.73,15.4,15.73,15.73,1011,78,1011,1000,10000.0,3.94,162,10.51,79,Clouds,broken clouds,04d,10800
Samara,RU,50.0,53.0,18.84,18.45,18.84,18.84,1015,64,1015,1005,10000.0,1.59,292,2.17,0,Clear,clear sky,01d,14400
Omsk,RU,73.4,55.0,24.23,24.41,24.23,24.23,1015,65,1015,1004,10000.0,1.97,33,2.55,5,Clear,clear sky,01d,21600
Krasnoyarsk,RU,92.7917,56.0097,20.1,19.52,20.1,20.1,1009,52,1009,980,10000.0,1.73,356,2.31,0,Clear,clear sky,01d,25200
Rostov-on-Don,RU,39.7139,47.2364,19.93,19.55,19.93,19.93,1013,60,1013,1007,10000.0,1.09,222,1.59,0,Clear,clear sky,01d,10800
Ufa,RU,56.0375,54.775,19.8,19.66,19.8,19.8,1015,70,1015,1001,10000.0,1.01,330,1.69,100,Clouds,overcast clouds,04d,18000
Volgograd,RU,44.5018,48.7194,22.64,22.27,22.64,22.64,1013,50,1013,1006,10000.0,2.78,76,4.61,0,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,18.69,18.73,18.69,18.69,1014,81,1014,996,10000.0,1.38,272,2.39,100,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,17.45,16.77,17.45,17.45,1011,58,1011,996,10000.0,4.33,183,12.7,100,Clouds,overcast clouds,04d,10800
Krasnodar,RU,40.0,45.0,18.61,18.38,18.61,18.61,1013,71,1013,1003,10000.0,1.38,261,1.38,100,Clouds,overcast clouds,04d,10800
