city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,13.52,13.2,13.52,13.52,1012,87,1012,993,10000,3.17,269,8.74,79,Clouds,broken clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,13.36,13.13,13.36,13.36,1010,91,1010,1007,10000,3.81,282,7.58,100,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,17.93,17.19,17.93,17.93,1020,54,1020,1000,10000,4.79,69,6.97,0,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,16.46,16.09,16.46,16.46,1018,74,1018,985,10000,2.09,254,4.15,100,Clouds,overcast clouds,04d,18000
Kazan,RU,49.1221,55.7887,14.16,13.9,14.16,14.16,1014,87,1014,1001,10000,2.52,184,5.85,100,Clouds,overcast clouds,04d,10800
Vladimir,RU,40.3966,56.1366,12.58,12.48,12.58,12.58,1011,99,1011,994,77,4.01,239,8.47,100,Rain,light rain,10d,10800
Nizhny Novgorod,RU,44.002,56.3287,13.4,13.28,13.4,13.4,1011,95,1011,1001,10000,3.49,212,7.51,100,Rain,light rain,10d,10800
Samara,RU,50.0,53.0,16.94,16.67,16.94,16.94,1016,76,1016,1007,10000,0.87,183,1.91,81,Clouds,broken clouds,04d,14400
Omsk,RU,73.4,55.0,21.59,21.37,21.59,21.59,1018,60,1018,1007,10000,3.18,121,4.54,63,Clouds,broken clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,17.54,16.37,17.54,17.54,1026,39,1026,996,10000,2.84,64,4.07,15,Clouds,few clouds,02d,25200
Rostov-on-Don,RU,39.7139,47.2364,17.23,17.1,17.23,17.23,1014,80,1014,1009,10000,2.24,51,2.72,99,Rain,light rain,10d,10800
Ufa,RU,56.0375,54.775,16.07,15.77,16.07,16.07,1019,78,1019,1005,10000,2.67,171,5.96,33,Clouds,scattered clouds,03d,18000
Volgograd,RU,44.5018,48.7194,18.68,18.8,18.68,18.68,1015,84,1015,1008,10000,2.32,182,3.36,96,Clouds,overcast clouds,04d,10800
Perm,RU,56.2855,58.0174,15.96,15.7,15.96,15.96,1015,80,1015,998,10000,2.75,188,8.78,99,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,12.83,12.41,12.83,12.83,1016,86,1016,1001,10000,2.58,275,6.31,70,Clouds,broken clouds,04d,10800
Krasnodar,RU,40.0,45.0,16.12,16.29,16.12,16.12,1015,96,1015,1004,10000,1.61,230,1.58,49,Rain,light rain,10d,10800
Saratov,RU,46.0333,51.5667,15.41,15.41,15.41,15.41,1016,92,1016,1008,10000,0.61,186,0.39,74,Clouds,broken clouds,04d,14400
Tyumen,RU,65.5272,57.1522,20.91,21.12,20.91,20.91,1017,79,1017,1008,10000,2.43,325,3.07,3,Clear,clear sky,01d,18000
Tolyatti,RU,49.3461,53.5303,15.55,15.38,15.55,15.55,1016,85,1016,1009,10000,2.62,211,3.47,9,Clear,clear sky,01d,14400
Izhevsk,RU,53.2333,56.85,13.96,13.87,13.96,13.96,1015,94,1015,999,10000,3.5,202,8.74,14,Clouds,few clouds,02d,14400
London,GB,-0.1257,51.5085,17.37,17.36,15.57,18.21,1013,84,1013,1009,10000,1.35,207,1.73,6,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,21.5,21.9,19.47,22.3,1014,84,1014,1005,10000,1.87,190,6.36,44,Clouds,scattered clouds,03n,7200
Madrid,ES,-3.7026,40.4165,24.83,24.26,22.99,25.19,1014,34,1014,941,10000,0.89,150,2.24,99,Clouds,overcast clouds,04n,7200
Rome,US,-85.1647,34.257,22.6,23.42,22.15,23.33,1008,96,1008,982,3910,0.45,15,0.89,100,Rain,moderate rain,10n,-14400
Amsterdam,NL,4.8897,52.374,19.18,19.63,18.33,19.94,1015,95,1015,1015,10000,1.34,148,1.79,71,Clouds,broken clouds,04n,7200
Brussels,BE,4.3488,50.8504,19.4,19.88,18.58,19.88,1014,95,1014,1007,10000,2.34,190,4.44,86,Clouds,overcast clouds,04n,7200
Vienna,AT,16.3721,48.2085,19.67,19.89,16.78,21.0,1020,84,1020,994,10000,0.45,83,1.34,51,Clouds,broken clouds,04n,7200
Prague,CZ,14.4208,50.088,18.71,18.83,18.07,20.11,1020,84,1020,986,10000,2.24,200,,5,Clear,clear sky,01n,7200
Warsaw,PL,21.0118,52.2298,16.49,16.49,14.39,17.66,1020,88,1020,1009,10000,1.43,316,2.31,16,Clouds,few clouds,02d,7200
Budapest,HU,19.0399,47.498,19.8,19.69,19.35,20.62,1020,71,1020,999,10000,0.89,5,1.34,100,Clouds,overcast clouds,04n,7200
Lisbon,PT,-9.1333,38.7167,17.02,17.08,16.74,17.53,1014,88,1014,1006,10000,1.79,190,4.47,33,Clouds,scattered clouds,03n,3600
Stockholm,SE,18.0649,59.3326,14.24,14.07,11.81,15.03,1015,90,1015,1010,10000,1.52,328,3.16,97,Clouds,overcast clouds,04d,7200
Oslo,NO,10.7461,59.9127,14.75,14.58,12.18,14.75,1012,88,1012,988,10000,1.29,158,2.37,100,Rain,moderate rain,10d,7200
Copenhagen,DK,12.5655,55.6759,16.19,16.19,16.19,16.19,1017,89,1017,1016,10000,1.78,207,2.11,99,Clouds,overcast clouds,04d,7200
Helsinki,FI,24.9355,60.1695,14.15,13.94,13.32,14.65,1012,89,1012,1010,10000,4.47,315,5.36,87,Clouds,overcast clouds,04d,10800
Athens,GR,23.7162,37.9795,24.1,23.74,22.99,25.08,1015,45,1015,991,10000,4.02,25,8.94,0,Clear,clear sky,01n,10800
Dublin,US,-121.9358,37.7021,18.84,18.58,16.5,19.55,1012,69,1012,987,10000,1.79,274,6.26,3,Clear,clear sky,01d,-25200
Zurich,CH,8.55,47.3667,18.75,18.87,18.61,19.6,1019,84,1019,961,10000,1.33,171,1.15,12,Clouds,few clouds,02n,7200
Barcelona,ES,2.159,41.3888,23.18,22.65,20.61,24.62,1017,42,1017,1010,10000,0.45,329,2.24,24,Clouds,few clouds,02n,7200
Beijing,CN,116.3972,39.9075,25.62,26.12,25.62,25.62,1004,72,1004,999,10000,3.65,205,6.44,100,Clouds,overcast clouds,04d,28800
Shanghai,CN,121.4581,31.2222,27.92,31.32,27.92,27.92,1002,76,1002,1002,10000,1.93,169,4.6,100,Clouds,overcast clouds,04d,28800
Shenzhen,CN,114.0683,22.5455,30.39,37.39,29.1,30.48,1010,87,1010,1001,10000,5.72,187,10.3,100,Rain,moderate rain,10d,28800
Guangzhou,CN,113.25,23.1167,27.44,31.24,27.44,27.44,1009,84,1009,1008,10000,3.79,186,10.94,100,Rain,light rain,10d,28800
Harbin,CN,126.65,45.75,29.39,29.55,29.39,29.39,1006,45,1006,990,10000,4.98,208,5.92,47,Clouds,scattered clouds,03d,28800
Tokyo,JP,139.6917,35.6895,28.97,31.14,28.69,30.44,1010,61,1010,1009,10000,0.89,298,3.58,49,Clouds,scattered clouds,03d,32400
Seoul,KR,126.9778,37.5683,31.36,31.55,31.36,31.36,1006,41,1006,997,10000,1.77,150,3.12,100,Clouds,overcast clouds,04d,32400
Bangkok,TH,100.5167,13.75,30.51,36.31,30.51,31.63,1010,70,1010,1009,10000,2.04,244,3.16,100,Clouds,overcast clouds,04d,25200
Singapore,SG,103.8501,1.2897,30.52,37.52,30.52,30.52,1011,77,1011,1010,10000,3.02,127,3.61,41,Clouds,scattered clouds,03d,28800
Hong Kong,HK,114.1577,22.2855,29.74,36.1,29.16,30.54,1010,77,1010,1004,10000,8.05,190,,100,Rain,light rain,10d,28800
Taipei,TW,121.5319,25.0478,32.17,38.77,31.85,32.17,1010,64,1010,991,10000,0.89,320,3.13,40,Clouds,scattered clouds,03d,28800
Kuala Lumpur,MY,101.6865,3.1431,31.12,38.12,30.12,31.81,1011,78,1011,998,10000,1.73,175,1.79,20,Clouds,few clouds,02d,28800
Jakarta,ID,106.8451,-6.2146,30.61,33.59,29.61,30.61,1012,58,1012,1009,10000,0.89,84,0.89,5,Clear,clear sky,01d,25200
Manila,PH,120.9822,14.6042,31.82,38.82,31.7,32.28,1011,78,1011,1014,10000,0.45,137,4.47,99,Clouds,overcast clouds,04d,28800
Hanoi,VN,105.8412,21.0245,30.9,35.65,30.9,30.9,1003,64,1003,1003,10000,0.8,38,0.57,100,Clouds,overcast clouds,04d,25200
New York,US,-74.006,40.7143,27.3,27.85,25.53,27.9,1002,52,1002,1002,10000,8.05,263,12.52,3,Clear,clear sky,01n,-14400
Los Angeles,US,-118.2437,34.0522,19.46,19.39,17.36,21.59,1014,74,1014,995,10000,0.89,169,3.13,0,Clear,clear sky,01d,-25200
Chicago,US,-87.65,41.85,19.74,19.55,17.83,20.66,1011,68,1011,990,10000,0.45,266,0.45,2,Clear,clear sky,01n,-18000
Houston,US,-95.3633,29.7633,29.7,36.7,28.92,30.63,1008,83,1008,1006,10000,3.58,134,7.15,0,Clear,clear sky,01n,-18000
Phoenix,US,-112.074,33.4484,37.96,35.67,36.95,39.1,1007,15,1007,965,10000,3.13,261,8.94,0,Clear,clear sky,01d,-25200
Toronto,CA,-79.4163,43.7001,15.96,15.75,15.6,16.25,1004,82,1004,988,10000,4.02,268,7.6,96,Clouds,overcast clouds,04n,-14400
Vancouver,CA,-123.1193,49.2497,23.67,23.29,21.79,26.27,1013,46,1013,1005,10000,1.34,271,2.68,10,Clear,clear sky,01d,-25200
Montreal,CA,-73.5878,45.5088,17.35,17.57,16.9,17.73,992,93,992,989,10000,2.68,248,4.02,63,Rain,light rain,10n,-14400
Calgary,CA,-114.0853,51.0501,14.22,13.16,14.22,14.22,1018,56,1018,893,10000,0.24,123,1.02,8,Clear,clear sky,01d,-21600
Ottawa,CA,-75.6981,45.4112,17.58,17.77,16.99,17.91,995,91,995,984,10000,0.89,0,4.02,99,Rain,light rain,10n,-14400
Sao Paulo,BR,-46.6361,-23.5475,12.83,12.34,11.92,12.83,1025,83,1025,933,10000,2.68,97,3.13,100,Clouds,overcast clouds,04n,-10800
Rio de Janeiro,BR,-43.2075,-22.9028,20.86,21.06,20.86,20.86,1025,79,1025,1026,10000,2.24,5,2.68,68,Clouds,broken clouds,04n,-10800
Buenos Aires,AR,-58.3772,-34.6132,9.28,9.28,8.85,10.56,1013,96,1013,1012,10000,0.89,113,1.79,100,Rain,light rain,10n,-10800
