city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,12.97,12.52,12.97,12.97,1016,84,1016,998,10000.0,2.91,313,7.79,19,Clouds,few clouds,02d,10800
Saint Petersburg,RU,30.2642,59.8944,15.03,14.7,15.03,15.03,1018,81,1018,1016,10000.0,2.12,266,2.54,60,Clouds,broken clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,19.58,19.06,19.58,19.58,1017,56,1017,997,10000.0,5.36,43,7.81,0,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,19.35,19.22,19.35,19.35,1018,72,1018,985,10000.0,2.29,208,4.65,78,Clouds,broken clouds,04d,18000
Kazan,RU,49.1221,55.7887,16.02,16.03,16.02,16.02,1013,90,1013,1000,10000.0,0.65,32,0.99,100,Rain,light rain,10d,10800
Vladimir,RU,40.3966,56.1366,13.16,12.65,13.16,13.16,1015,81,1015,999,10000.0,1.99,313,4.39,39,Clouds,scattered clouds,03d,10800
Nizhny Novgorod,RU,44.002,56.3287,13.64,13.38,13.64,13.64,1014,89,1014,1004,10000.0,1.17,268,1.35,24,Clouds,few clouds,02d,10800
Samara,RU,50.0,53.0,17.86,18.08,17.86,17.86,1013,91,1013,1004,10000.0,4.5,213,8.53,92,Rain,light rain,10d,14400
Omsk,RU,73.4,55.0,22.94,22.91,22.94,22.94,1018,62,1018,1007,10000.0,1.47,103,1.56,79,Clouds,broken clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,19.51,18.77,19.51,19.51,1020,48,1020,991,10000.0,1.46,11,2.37,19,Clouds,few clouds,02d,25200
Rostov-on-Don,RU,39.7139,47.2364,17.59,17.39,17.59,17.59,1017,76,1017,1012,10000.0,2.82,14,6.35,47,Clouds,scattered clouds,03d,10800
Ufa,RU,56.0375,54.775,18.93,18.81,18.93,18.93,1017,74,1017,1004,10000.0,2.3,142,3.9,98,Clouds,overcast clouds,04d,18000
Volgograd,RU,44.5018,48.7194,17.65,17.61,17.65,17.65,1015,82,1015,1008,10000.0,3.63,343,6.39,100,Clouds,overcast clouds,04d,10800
Perm,RU,56.2855,58.0174,18.51,18.27,18.51,18.51,1016,71,1016,999,10000.0,1.72,187,3.23,63,Clouds,broken clouds,04d,18000
Voronezh,RU,39.17,51.6664,13.88,13.54,13.88,13.88,1017,85,1017,1002,10000.0,1.77,299,3.43,8,Clear,clear sky,01d,10800
Krasnodar,RU,40.0,45.0,17.82,18.19,17.82,17.82,1016,97,1016,1005,10000.0,1.15,89,1.45,100,Rain,light rain,10d,10800
Saratov,RU,46.0333,51.5667,16.52,16.79,16.52,16.52,1014,98,1014,1006,10000.0,3.07,306,3.82,52,Clouds,broken clouds,04d,14400
Tyumen,RU,65.5272,57.1522,20.81,20.77,20.81,20.81,1019,70,1019,1010,10000.0,1.02,331,1.22,5,Clear,clear sky,01d,18000
Tolyatti,RU,49.3461,53.5303,16.63,16.83,16.63,16.63,1012,95,1012,1005,10000.0,5.08,173,8.28,100,Clouds,overcast clouds,04d,14400
Izhevsk,RU,53.2333,56.85,18.4,18.52,18.4,18.4,1015,85,1015,999,10000.0,2.29,130,5.99,63,Clouds,broken clouds,04d,14400
London,GB,-0.1257,51.5085,18.03,18.08,16.62,18.9,1015,84,1015,1011,10000.0,1.79,221,4.02,100,Clouds,overcast clouds,04n,3600
Paris,FR,2.3488,48.8534,21.0,21.09,19.65,21.38,1016,74,1016,1006,10000.0,0.45,26,0.89,15,Clouds,few clouds,02n,7200
Berlin,DE,13.4105,52.5244,20.46,20.75,17.45,21.2,1017,84,1017,1011,10000.0,1.34,123,2.24,75,Clouds,broken clouds,04n,7200
Madrid,ES,-3.7026,40.4165,23.58,23.56,22.34,24.04,1017,60,1017,943,10000.0,1.34,80,5.36,100,Clouds,overcast clouds,04n,7200
Rome,US,-85.1647,34.257,23.54,24.25,22.92,24.31,1016,88,1016,989,10000.0,1.27,28,1.46,98,Clouds,overcast clouds,04n,-14400
Amsterdam,NL,4.8897,52.374,19.94,20.26,18.81,20.5,1015,87,1015,1015,10000.0,2.24,244,5.36,100,Rain,heavy intensity rain,10n,7200
Brussels,BE,4.3488,50.8504,18.76,19.04,17.87,19.84,1016,90,1016,1009,10000.0,2.77,308,4.52,56,Clouds,broken clouds,04n,7200
Vienna,AT,16.3721,48.2085,21.05,21.38,19.3,22.55,1019,83,1019,992,10000.0,0.45,79,0.45,71,Clouds,broken clouds,04n,7200
Prague,CZ,14.4208,50.088,21.56,21.63,20.48,22.4,1018,71,1018,984,10000.0,1.68,162,1.74,82,Clouds,broken clouds,04n,7200
Warsaw,PL,21.0118,52.2298,18.43,18.31,16.55,19.96,1021,76,1021,1010,10000.0,2.08,129,4.36,100,Clouds,overcast clouds,04d,7200
Budapest,HU,19.0399,47.498,20.72,20.65,19.9,22.38,1020,69,1020,999,10000.0,0.92,58,0.85,7,Clear,clear sky,01n,7200
Lisbon,PT,-9.1333,38.7167,18.87,19.11,18.4,19.72,1015,88,1015,1007,10000.0,0.89,190,5.36,100,Clouds,overcast clouds,04n,3600
Stockholm,SE,18.0649,59.3326,15.35,15.34,15.06,16.14,1016,92,1016,1012,10000.0,1.83,218,2.5,19,Clouds,few clouds,02d,7200
Oslo,NO,10.7461,59.9127,16.98,17.14,13.29,16.98,1012,92,1012,989,8710.0,2.02,167,9.05,58,Clouds,broken clouds,04d,7200
Copenhagen,DK,12.5655,55.6759,18.41,18.68,18.41,18.41,1016,91,1016,1014,10000.0,3.39,151,6.99,13,Clouds,few clouds,02d,7200
Helsinki,FI,24.9355,60.1695,13.47,13.09,11.67,14.87,1019,85,1019,1017,10000.0,4.47,215,4.92,29,Clouds,scattered clouds,03d,10800
Athens,GR,23.7162,37.9795,22.8,22.34,21.52,23.43,1018,46,1018,994,10000.0,1.79,5,,0,Clear,clear sky,01n,10800
Dublin,US,-121.9358,37.7021,19.37,19.03,17.32,20.58,1014,64,1014,989,10000.0,1.34,295,7.15,1,Clear,clear sky,01d,-25200
Zurich,CH,8.55,47.3667,18.08,18.35,17.21,19.04,1021,92,1021,963,10000.0,0.89,237,1.34,71,Clouds,broken clouds,04n,7200
Barcelona,ES,2.159,41.3888,23.91,23.66,23.11,24.74,1018,50,1018,1011,10000.0,2.89,53,3.51,36,Clouds,scattered clouds,03n,7200
Beijing,CN,116.3972,39.9075,26.79,26.11,26.79,26.79,1005,25,1005,1000,10000.0,7.17,323,9.64,41,Clouds,scattered clouds,03d,28800
Shanghai,CN,121.4581,31.2222,29.25,33.28,29.25,29.25,1005,70,1005,1004,10000.0,3.11,268,6.11,83,Rain,light rain,10d,28800
Shenzhen,CN,114.0683,22.5455,30.57,37.57,29.65,30.74,1010,86,1010,1002,10000.0,4.83,194,7.0,99,Clouds,overcast clouds,04d,28800
Guangzhou,CN,113.25,23.1167,30.11,35.06,30.11,30.11,1009,69,1009,1009,10000.0,4.58,190,6.95,100,Clouds,overcast clouds,04d,28800
Harbin,CN,126.65,45.75,29.48,29.01,29.48,29.48,1004,39,1004,988,10000.0,5.43,135,7.77,100,Clouds,overcast clouds,04d,28800
Tokyo,JP,139.6917,35.6895,23.52,24.15,21.45,24.24,1012,85,1012,1010,10000.0,4.3,137,4.54,100,Clouds,overcast clouds,04d,32400
Seoul,KR,126.9778,37.5683,19.36,19.7,19.36,19.36,995,90,995,986,7636.0,4.19,77,9.94,100,Rain,light rain,10d,32400
Bangkok,TH,100.5167,13.75,28.84,34.93,28.84,31.07,1010,83,1010,1010,10000.0,3.06,203,4.42,100,Clouds,overcast clouds,04d,25200
Singapore,SG,103.8501,1.2897,29.4,36.4,29.4,29.4,1012,83,1012,1012,10000.0,3.7,129,4.0,69,Rain,heavy intensity rain,10d,28800
Hong Kong,HK,114.1577,22.2855,29.45,35.54,29.1,30.8,1010,78,1010,1005,10000.0,4.92,200,,100,Clouds,overcast clouds,04d,28800
Taipei,TW,121.5319,25.0478,32.73,37.21,31.85,32.73,1010,55,1010,991,10000.0,2.68,270,6.26,100,Clouds,overcast clouds,04d,28800
Kuala Lumpur,MY,101.6865,3.1431,29.56,33.56,29.56,29.56,1013,68,1013,999,3656.0,0.71,271,1.0,100,Clouds,overcast clouds,04d,28800
Jakarta,ID,106.8451,-6.2146,30.6,36.27,30.14,31.84,1013,69,1013,1010,10000.0,1.79,165,2.24,40,Clouds,scattered clouds,03d,25200
Manila,PH,120.9822,14.6042,33.07,40.07,32.81,33.9,1010,72,1010,1013,10000.0,0.45,32,10.28,98,Clouds,overcast clouds,04d,28800
Hanoi,VN,105.8412,21.0245,31.38,35.94,31.38,31.38,1005,61,1005,1005,10000.0,1.27,273,1.72,100,Clouds,overcast clouds,04d,25200
New York,US,-74.006,40.7143,23.51,23.12,21.83,24.01,1007,46,1007,1006,10000.0,6.26,298,8.05,6,Clear,clear sky,01n,-14400
Los Angeles,US,-118.2437,34.0522,19.05,18.89,17.42,20.48,1015,72,1015,995,10000.0,1.34,223,0.45,2,Clear,clear sky,01d,-25200
Chicago,US,-87.65,41.85,20.1,20.12,20.1,20.66,1015,75,1015,994,10000.0,4.08,248,9.42,100,Rain,light rain,10n,-18000
