city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,16.86,16.77,16.86,16.86,1005,83,1005,986,10000.0,4.8,152,11.03,100,Clouds,overcast clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,13.92,13.82,13.92,13.92,997,94,997,998,10000.0,3.38,170,6.54,100,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,18.5,17.87,18.5,18.5,1015,56,1015,996,10000.0,3.52,11,4.99,1,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,18.11,18.51,18.11,18.11,1016,97,1016,983,10000.0,2.44,341,6.07,100,Clouds,overcast clouds,04d,18000
Kazan,RU,49.1221,55.7887,17.29,16.95,17.29,17.29,1016,72,1016,1002,10000.0,1.62,80,2.19,2,Clear,clear sky,01d,10800
Vladimir,RU,40.3966,56.1366,15.37,15.31,15.37,15.37,1009,90,1009,992,10000.0,4.72,153,12.88,80,Clouds,broken clouds,04d,10800
Nizhny Novgorod,RU,44.002,56.3287,18.33,18.1,18.33,18.33,1013,72,1013,1002,10000.0,3.73,125,10.71,13,Clouds,few clouds,02d,10800
Samara,RU,50.0,53.0,19.96,19.87,19.96,19.96,1014,71,1014,1005,10000.0,2.68,80,4.2,100,Clouds,overcast clouds,04d,14400
Omsk,RU,73.4,55.0,22.01,22.07,22.01,22.01,1019,69,1019,1008,10000.0,1.51,345,1.87,0,Clear,clear sky,01d,21600
Krasnoyarsk,RU,92.7917,56.0097,13.13,12.22,13.13,13.13,1011,66,1011,982,10000.0,2.37,342,3.76,100,Clouds,overcast clouds,04d,25200
Rostov-on-Don,RU,39.7139,47.2364,18.97,18.99,18.97,18.97,1009,79,1009,1003,10000.0,0.85,140,0.9,61,Rain,light rain,10d,10800
Ufa,RU,56.0375,54.775,17.02,16.89,17.02,17.02,1015,81,1015,1001,10000.0,3.08,29,7.62,100,Clouds,overcast clouds,04d,18000
Volgograd,RU,44.5018,48.7194,22.99,22.62,22.99,22.99,1011,49,1011,1004,10000.0,1.4,139,1.62,4,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,19.66,19.4,19.66,19.66,1017,66,1017,1000,10000.0,1.0,353,1.59,79,Clouds,broken clouds,04d,18000
Voronezh,RU,39.17,51.6664,18.1,18.05,18.1,18.1,1008,80,1008,993,10000.0,2.39,136,5.11,100,Clouds,overcast clouds,04d,10800
Krasnodar,RU,40.0,45.0,18.41,18.68,18.41,18.41,1010,91,1010,999,10000.0,1.93,217,2.89,1,Clear,clear sky,01d,10800
Saratov,RU,46.0333,51.5667,17.63,17.25,17.63,17.63,1012,69,1012,1004,10000.0,1.9,75,2.44,91,Clouds,overcast clouds,04d,14400
Tyumen,RU,65.5272,57.1522,23.72,24.31,23.72,23.72,1016,83,1016,1007,10000.0,3.51,173,6.97,95,Clouds,overcast clouds,04d,18000
Tolyatti,RU,49.3461,53.5303,19.16,19.12,19.16,19.16,1014,76,1014,1006,10000.0,2.37,49,3.16,92,Clouds,overcast clouds,04d,14400
Izhevsk,RU,53.2333,56.85,18.96,19.1,18.96,18.96,1017,84,1017,1001,10000.0,1.9,75,2.8,89,Clouds,overcast clouds,04d,14400
London,GB,-0.1257,51.5085,21.3,21.26,19.47,22.94,1018,68,1018,1013,10000.0,1.88,209,3.84,4,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,24.26,24.46,22.92,24.52,1018,66,1018,1008,10000.0,2.26,64,5.14,0,Clear,clear sky,01n,7200
Berlin,DE,13.4105,52.5244,12.5,12.1,11.64,13.79,1014,88,1014,1009,10000.0,4.18,294,9.1,15,Clouds,few clouds,02n,7200
Madrid,ES,-3.7026,40.4165,26.43,26.43,23.45,27.41,1012,25,1012,940,10000.0,1.79,74,3.13,3,Clear,clear sky,01n,7200
Rome,US,-85.1647,34.257,25.1,25.78,24.42,25.7,1017,81,1017,990,10000.0,0.72,271,0.75,10,Clear,clear sky,01n,-14400
Amsterdam,NL,4.8897,52.374,15.45,15.35,14.36,16.11,1019,88,1019,1019,10000.0,0.45,351,0.89,0,Clear,clear sky,01n,7200
Brussels,BE,4.3488,50.8504,14.51,14.39,13.77,15.43,1019,91,1019,1012,10000.0,1.91,62,2.39,3,Clear,clear sky,01n,7200
Vienna,AT,16.3721,48.2085,17.27,17.06,14.52,18.22,1014,77,1014,988,10000.0,2.24,342,4.02,90,Clouds,overcast clouds,04n,7200
Prague,CZ,14.4208,50.088,15.48,14.7,14.53,16.4,1016,62,1016,981,10000.0,0.89,270,,46,Clouds,scattered clouds,03n,7200
Warsaw,PL,21.0118,52.2298,13.41,13.16,12.02,14.8,1007,90,1007,996,10000.0,3.6,277,9.12,100,Rain,light rain,10d,7200
Budapest,HU,19.0399,47.498,15.37,14.32,13.79,16.82,1013,52,1013,992,10000.0,1.34,313,3.13,63,Clouds,broken clouds,04d,7200
Lisbon,PT,-9.1333,38.7167,17.44,17.49,16.97,18.38,1015,86,1015,1006,10000.0,4.02,190,5.81,0,Clear,clear sky,01n,3600
Stockholm,SE,18.0649,59.3326,12.43,11.84,11.25,12.81,1008,81,1008,1004,10000.0,0.45,293,1.79,0,Clear,clear sky,01d,7200
Oslo,NO,10.7461,59.9127,10.86,10.17,10.86,11.63,1015,83,1015,990,10000.0,0.86,327,0.78,73,Clouds,broken clouds,04d,7200
Copenhagen,DK,12.5655,55.6759,12.86,12.58,12.86,12.86,1013,91,1013,1011,10000.0,3.34,310,5.87,7,Clear,clear sky,01d,7200
Helsinki,FI,24.9355,60.1695,15.05,14.67,14.13,15.54,1002,79,1002,1000,10000.0,9.83,7,11.62,100,Rain,moderate rain,10d,10800
Athens,GR,23.7162,37.9795,25.77,25.81,24.09,26.77,1007,54,1007,983,10000.0,1.34,345,2.24,0,Clear,clear sky,01n,10800
Dublin,US,-121.9358,37.7021,16.47,16.13,14.5,19.02,1016,75,1016,991,10000.0,4.92,197,8.94,1,Clear,clear sky,01d,-25200
Zurich,CH,8.55,47.3667,15.91,15.75,15.83,17.69,1017,84,1017,960,10000.0,0.88,64,0.75,68,Clouds,broken clouds,04n,7200
Barcelona,ES,2.159,41.3888,27.7,27.29,26.91,28.69,1013,38,1013,1005,10000.0,1.79,304,5.36,0,Clear,clear sky,01n,7200
Beijing,CN,116.3972,39.9075,32.18,34.21,32.18,32.18,999,48,999,994,10000.0,1.46,113,1.56,59,Clouds,broken clouds,04d,28800
Shanghai,CN,121.4581,31.2222,28.28,32.98,28.28,28.28,1007,81,1007,1006,10000.0,0.85,156,2.31,100,Clouds,overcast clouds,04d,28800
