city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,18.54,18.28,18.54,18.54,1001,70,1001,983,10000,3.34,220,3.94,100,Rain,light rain,10d,10800
Saint Petersburg,RU,30.2642,59.8944,17.81,17.87,17.81,17.81,998,85,998,997,6741,3.48,152,4.9,100,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,22.28,22.5,22.28,22.28,1006,74,1006,987,10000,3.1,62,6.75,86,Clouds,overcast clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,21.83,21.84,21.83,21.83,1003,68,1003,971,10000,2.61,164,4.15,14,Clouds,few clouds,02d,18000
Kazan,RU,49.1221,55.7887,23.38,23.31,23.38,23.38,1001,59,1001,989,10000,2.23,223,3.19,100,Clouds,overcast clouds,04d,10800
Vladimir,RU,40.3966,56.1366,22.06,21.57,22.06,22.06,1001,48,1001,985,10000,1.75,314,2.86,53,Clouds,broken clouds,04d,10800
Nizhny Novgorod,RU,44.002,56.3287,21.87,21.81,21.87,21.87,1002,65,1002,991,10000,2.94,255,3.14,100,Rain,light rain,10d,10800
Samara,RU,50.0,53.0,21.78,21.74,21.78,21.78,1002,66,1002,992,10000,2.21,189,2.38,99,Clouds,overcast clouds,04d,14400
Omsk,RU,73.4,55.0,24.53,24.94,24.53,24.53,1005,73,1005,994,10000,2.25,83,3.28,89,Rain,light rain,10d,21600
Krasnoyarsk,RU,92.7917,56.0097,19.79,19.94,19.79,19.79,1004,81,1004,975,10000,2.61,269,4.79,62,Rain,moderate rain,10d,25200
Rostov-on-Don,RU,39.7139,47.2364,23.72,23.4,23.72,23.72,1012,48,1012,1006,10000,7.02,263,9.04,40,Clouds,scattered clouds,03d,10800
Ufa,RU,56.0375,54.775,22.67,22.61,22.67,22.67,1002,62,1002,989,10000,1.32,270,2.51,100,Rain,light rain,10d,18000
Volgograd,RU,44.5018,48.7194,25.51,25.06,25.51,25.51,1008,36,1008,1001,10000,6.48,280,8.29,0,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,22.11,22.26,22.11,22.11,1002,72,1002,985,8214,2.32,141,4.01,64,Rain,light rain,10d,18000
Voronezh,RU,39.17,51.6664,19.97,20.11,19.97,19.97,1005,80,1005,990,9681,5.79,236,8.82,17,Rain,light rain,10d,10800
