city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,15.75,15.26,15.75,15.75,1016,72,1016,997,10000,2.63,316,6.85,100,Clouds,overcast clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,18.92,19.32,18.92,18.92,1013,94,1013,1011,10000,2.42,199,6.16,99,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,21.14,21.45,21.14,21.14,1005,82,1005,986,10000,1.51,169,1.82,72,Clouds,broken clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,11.45,11.08,11.45,11.45,1004,93,1004,971,10000,1.88,352,6.14,100,Rain,light rain,10d,18000
Kazan,RU,49.1221,55.7887,10.91,10.56,10.91,10.91,1005,96,1005,991,10000,2.93,61,5.41,100,Clouds,overcast clouds,04d,10800
Vladimir,RU,40.3966,56.1366,14.2,13.76,14.2,14.2,1014,80,1014,997,10000,3.44,339,9.46,82,Clouds,broken clouds,04d,10800
Nizhny Novgorod,RU,44.002,56.3287,15.47,14.87,15.47,15.47,1009,69,1009,999,10000,4.95,348,12.96,62,Clouds,broken clouds,04d,10800
Samara,RU,50.0,53.0,8.87,8.87,8.87,8.87,1003,91,1003,994,10000,1.07,125,1.05,34,Clouds,scattered clouds,03d,14400
Omsk,RU,73.4,55.0,22.31,22.53,22.31,22.31,1002,74,1002,991,10000,3.61,85,4.93,85,Clouds,overcast clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,23.16,23.1,23.16,23.16,1006,60,1006,977,10000,2.21,242,3.59,42,Rain,light rain,10d,25200
Rostov-on-Don,RU,39.7139,47.2364,17.42,17.15,17.42,17.42,1017,74,1017,1011,10000,2.09,330,4.52,3,Clear,clear sky,01d,10800
Ufa,RU,56.0375,54.775,12.69,12.0,12.69,12.69,1005,76,1005,991,10000,1.25,86,1.37,10,Clear,clear sky,01d,18000
Volgograd,RU,44.5018,48.7194,16.25,15.44,16.25,16.25,1012,58,1012,1005,10000,5.92,300,12.66,99,Clouds,overcast clouds,04d,10800
Perm,RU,56.2855,58.0174,12.52,12.13,12.52,12.52,1006,88,1006,988,10000,1.55,304,2.25,100,Clouds,overcast clouds,04d,18000
Voronezh,RU,39.17,51.6664,15.24,14.88,15.24,15.24,1016,79,1016,1001,10000,3.51,315,8.87,49,Clouds,scattered clouds,03d,10800
Krasnodar,RU,40.0,45.0,17.2,17.43,17.2,17.2,1017,94,1017,1006,10000,2.68,252,5.39,10,Clear,clear sky,01d,10800
Saratov,RU,46.0333,51.5667,14.85,14.17,14.85,14.85,1007,68,1007,999,10000,9.07,320,14.9,100,Rain,light rain,10d,14400
Tyumen,RU,65.5272,57.1522,16.16,16.31,16.16,16.16,1000,95,1000,991,10000,2.99,74,8.89,100,Rain,light rain,10d,18000
Tolyatti,RU,49.3461,53.5303,11.85,11.44,11.85,11.85,1003,90,1003,995,10000,2.91,165,2.28,100,Clouds,overcast clouds,04d,14400
Izhevsk,RU,53.2333,56.85,10.07,9.67,10.07,10.07,1006,97,1006,990,10000,1.11,37,1.37,38,Clouds,scattered clouds,03d,14400
London,GB,-0.1257,51.5085,14.37,13.74,12.17,15.57,1024,72,1024,1021,10000,1.34,257,1.34,0,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,18.47,18.1,17.99,18.93,1025,66,1025,1015,10000,2.24,37,4.02,98,Clouds,overcast clouds,04n,7200
Berlin,DE,13.4105,52.5244,22.34,22.74,19.67,23.93,1018,81,1018,1014,10000,1.79,46,2.68,79,Clouds,broken clouds,04n,7200
