city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,15.19,14.57,15.19,15.19,1011,69,1011,992,10000,1.55,296,2.53,100,Rain,light rain,10d,10800
Saint Petersburg,RU,30.2642,59.8944,12.25,12.01,12.25,12.25,1012,95,1012,1009,10000,2.15,300,3.04,16,Clouds,few clouds,02d,10800
Novosibirsk,RU,82.9344,55.0411,24.37,24.53,24.37,24.37,1005,64,1005,986,10000,1.53,136,1.46,11,Clouds,few clouds,02d,25200
Yekaterinburg,RU,60.6125,56.8575,12.57,11.92,12.57,12.57,1007,78,1007,974,10000,4.37,293,9.6,2,Clear,clear sky,01d,18000
Kazan,RU,49.1221,55.7887,12.56,11.8,12.56,12.56,1010,74,1010,996,10000,1.9,296,3.54,33,Clouds,scattered clouds,03d,10800
Vladimir,RU,40.3966,56.1366,11.12,10.82,11.12,11.12,1011,97,1011,994,10000,1.01,334,2.05,100,Rain,light rain,10d,10800
Nizhny Novgorod,RU,44.002,56.3287,12.73,11.91,12.73,12.73,1010,71,1010,1000,10000,1.89,236,3.66,96,Clouds,overcast clouds,04d,10800
Samara,RU,50.0,53.0,12.69,11.95,12.69,12.69,1012,74,1012,1001,10000,2.42,285,4.29,3,Clear,clear sky,01d,14400
Omsk,RU,73.4,55.0,20.33,20.61,20.33,20.33,1005,84,1005,994,10000,2.22,73,3.68,100,Clouds,overcast clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,24.09,23.96,24.09,24.09,1006,54,1006,978,10000,1.12,13,1.44,44,Clouds,scattered clouds,03d,25200
Rostov-on-Don,RU,39.7139,47.2364,17.63,16.99,17.63,17.63,1014,59,1014,1008,10000,1.82,58,2.68,100,Clouds,overcast clouds,04d,10800
Ufa,RU,56.0375,54.775,13.75,13.35,13.75,13.75,1009,83,1009,995,10000,0.77,293,1.49,19,Clouds,few clouds,02d,18000
Volgograd,RU,44.5018,48.7194,18.58,17.9,18.58,18.58,1013,54,1013,1005,10000,3.09,19,4.82,38,Clouds,scattered clouds,03d,10800
Perm,RU,56.2855,58.0174,12.34,11.51,12.34,12.34,1008,72,1008,990,10000,0.88,271,1.58,76,Clouds,broken clouds,04d,18000
Voronezh,RU,39.17,51.6664,15.21,15.24,15.21,15.21,1011,94,1011,996,10000,1.86,188,3.14,100,Rain,light rain,10d,10800
Krasnodar,RU,40.0,45.0,18.37,18.64,18.37,18.37,1014,91,1014,1003,10000,1.76,196,2.13,100,Clouds,overcast clouds,04d,10800
Saratov,RU,46.0333,51.5667,14.3,13.69,14.3,14.3,1012,73,1012,1004,10000,1.4,311,1.43,5,Clear,clear sky,01d,14400
Tyumen,RU,65.5272,57.1522,18.01,18.11,18.01,18.01,1004,86,1004,995,10000,3.59,295,4.27,25,Clouds,scattered clouds,03d,18000
Tolyatti,RU,49.3461,53.5303,13.75,13.03,13.75,13.75,1012,71,1012,1003,10000,1.96,289,2.73,2,Clear,clear sky,01d,14400
Izhevsk,RU,53.2333,56.85,13.96,13.74,13.96,13.96,1008,89,1008,992,10000,1.88,240,2.79,98,Clouds,overcast clouds,04d,14400
London,GB,-0.1257,51.5085,21.46,21.8,20.56,22.77,1019,82,1019,1015,10000,1.34,359,1.79,4,Clear,clear sky,01n,3600
Paris,FR,2.3488,48.8534,26.31,26.31,25.04,27.99,1015,71,1015,1006,10000,2.3,55,7.9,45,Clouds,scattered clouds,03n,7200
Berlin,DE,13.4105,52.5244,21.91,21.54,21.71,22.77,1018,53,1018,1012,10000,1.34,241,1.79,89,Clouds,overcast clouds,04n,7200
Madrid,ES,-3.7026,40.4165,26.18,26.18,25.12,26.47,1014,36,1014,941,10000,4.02,14,8.49,27,Clouds,scattered clouds,03n,7200
Rome,US,-85.1647,34.257,20.53,20.75,19.98,21.53,1018,81,1018,991,10000,0.55,211,0.55,3,Clear,clear sky,01n,-14400
Amsterdam,NL,4.8897,52.374,21.33,21.92,20.47,22.16,1019,92,1019,1019,10000,1.79,359,4.02,1,Clear,clear sky,01n,7200
Brussels,BE,4.3488,50.8504,22.79,23.42,21.76,23.77,1017,88,1017,1011,10000,2.45,73,2.76,5,Clear,clear sky,01n,7200
Vienna,AT,16.3721,48.2085,19.95,19.78,17.05,21.56,1019,68,1019,992,10000,0.89,306,1.79,24,Clouds,few clouds,02n,7200
Prague,CZ,14.4208,50.088,19.77,19.63,18.82,21.23,1019,70,1019,985,10000,0.63,223,0.81,6,Clear,clear sky,01n,7200
Warsaw,PL,21.0118,52.2298,17.99,17.67,16.23,18.77,1018,70,1018,1007,10000,0.66,263,0.66,4,Clear,clear sky,01d,7200
Budapest,HU,19.0399,47.498,23.27,23.04,22.68,24.04,1018,53,1018,996,10000,0.89,46,2.68,8,Clear,clear sky,01n,7200
Lisbon,PT,-9.1333,38.7167,19.19,19.54,18.69,19.72,1015,91,1015,1007,10000,2.68,190,5.36,20,Clouds,few clouds,02n,3600
Stockholm,SE,18.0649,59.3326,14.4,14.3,13.95,15.59,1014,92,1014,1009,10000,1.96,160,3.11,26,Clouds,scattered clouds,03d,7200
Oslo,NO,10.7461,59.9127,14.75,14.11,12.74,14.75,1013,70,1013,990,10000,1.81,322,1.6,6,Clear,clear sky,01d,7200
Copenhagen,DK,12.5655,55.6759,18.41,18.53,18.41,18.41,1017,85,1017,1016,10000,3.11,287,6.03,1,Clear,clear sky,01n,7200
Helsinki,FI,24.9355,60.1695,10.78,10.21,9.43,11.7,1013,88,1013,1011,10000,2.68,313,3.58,0,Clear,clear sky,01d,10800
Athens,GR,23.7162,37.9795,25.43,25.39,23.19,26.48,1014,52,1014,990,10000,0.45,17,,2,Clear,clear sky,01n,10800
Dublin,US,-121.9358,37.7021,21.16,20.82,16.14,23.08,1013,57,1013,988,10000,2.74,253,4.05,2,Clear,clear sky,01d,-25200
Zurich,CH,8.55,47.3667,19.71,19.85,19.26,20.54,1018,81,1018,961,10000,0.77,105,0.46,0,Clear,clear sky,01n,7200
Barcelona,ES,2.159,41.3888,25.34,25.42,24.74,26.1,1015,57,1015,1008,10000,1.69,208,2.24,3,Clear,clear sky,01n,7200
Beijing,CN,116.3972,39.9075,27.42,26.54,27.42,27.42,1010,26,1010,1005,10000,4.95,345,7.29,0,Clear,clear sky,01d,28800
Shanghai,CN,121.4581,31.2222,25.68,26.24,25.68,25.68,1007,74,1007,1006,10000,2.69,34,3.41,92,Clouds,overcast clouds,04d,28800
Shenzhen,CN,114.0683,22.5455,33.44,40.44,31.32,34.01,1005,77,1005,996,10000,4.35,222,5.82,100,Clouds,overcast clouds,04d,28800
