city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Tver,RU,35.8931,56.8619,18.29,18.45,18.29,18.29,1015,87,1015,997,10000,1.77,142,3.97,100,Clouds,overcast clouds,04d,10800
Munich,DE,11.5755,48.1374,12.82,12.56,12.4,13.1,1022,92,1022,959,10000,2.24,327,3.13,80,Clouds,broken clouds,04n,7200
Hamburg,DE,10.0,53.55,12.11,11.88,12.11,14.05,1019,96,1019,1017,10000,1.81,256,1.73,4,Clear,clear sky,01n,7200
Milan,IT,9.1895,45.4643,20.41,20.73,18.97,21.12,1015,85,1015,1001,10000,1.34,122,1.34,71,Clouds,broken clouds,04n,7200
Naples,IT,14.25,40.8333,25.69,26.56,25.62,25.69,1010,86,1010,1007,10000,1.68,249,2.26,1,Clear,clear sky,01n,7200
Valencia,ES,-0.8333,39.3333,22.3,22.81,22.3,22.3,1019,85,1019,961,10000,0.56,22,1.25,6,Clear,clear sky,01n,7200
Seville,ES,-5.9761,37.3824,26.79,27.82,25.6,27.4,1015,60,1015,1012,10000,2.68,172,4.47,25,Clouds,scattered clouds,03n,7200
Porto,PT,-8.611,41.1496,21.16,20.32,21.16,21.16,1019,38,1019,1010,10000,5.75,63,10.8,9,Clear,clear sky,01n,3600
Lyon,FR,4.5833,45.75,15.27,14.55,15.27,15.27,1022,65,1022,962,10000,1.95,287,2.94,23,Clouds,few clouds,02n,7200
Marseille,FR,5.5,43.3333,21.96,21.23,19.81,22.97,1013,39,1013,995,10000,6.89,340,11.9,8,Clear,clear sky,01n,7200
Geneva,US,-88.3054,41.8875,28.45,31.56,27.0,29.72,1014,70,1014,987,10000,0.89,152,2.68,7,Clear,clear sky,01n,-18000
Osaka,JP,135.5022,34.6937,27.7,31.5,27.69,27.81,1005,81,1005,1001,10000,7.38,238,9.32,99,Clouds,overcast clouds,04d,32400
Nagoya,JP,136.9064,35.1815,24.98,25.91,24.98,25.01,1005,91,1005,1005,10000,0.45,190,0.89,100,Rain,light rain,10d,32400
Busan,KR,129.0403,35.1028,22.97,23.28,22.97,22.97,1011,75,1011,1007,10000,0.8,119,0.97,93,Clouds,overcast clouds,04d,32400
Incheon,KR,126.4161,37.45,20.64,20.98,20.64,20.64,1011,85,1011,1010,10000,2.21,204,2.36,48,Clouds,scattered clouds,03d,32400
Chiang Mai,TH,99.0,18.75,24.25,24.79,24.25,24.25,1008,79,1008,964,1886,1.56,184,2.94,100,Clouds,overcast clouds,04d,25200
Phuket,TH,98.25,8.0,29.49,36.14,29.49,29.49,1010,80,1010,1007,7826,8.61,257,12.82,100,Clouds,overcast clouds,04d,25200
Siem Reap,KH,104.0,13.5,31.04,35.18,31.04,31.04,1007,61,1007,999,10000,3.1,249,4.13,72,Clouds,broken clouds,04d,25200
Vientiane,LA,102.6,17.9667,29.4,36.12,29.39,29.4,1007,81,1007,985,8066,0.76,56,0.89,82,Rain,heavy intensity rain,10d,25200
Yangon,MM,96.1561,16.8053,29.25,33.69,29.25,29.25,1006,72,1006,1005,10000,2.65,137,2.8,90,Clouds,overcast clouds,04d,23400
Ulaanbaatar,MN,106.8832,47.9077,23.82,23.54,23.82,23.82,1006,49,1006,845,10000,1.88,3,2.26,50,Clouds,scattered clouds,03d,28800
San Francisco,US,-122.4194,37.7749,15.24,14.75,13.89,17.21,1011,74,1011,1007,10000,6.71,232,8.05,15,Clouds,few clouds,02d,-25200
San Diego,US,-117.1573,32.7153,19.37,19.35,18.11,21.21,1012,76,1012,1008,10000,3.58,295,4.92,12,Clouds,few clouds,02d,-25200
Dallas,US,-96.7836,32.7668,31.48,35.09,30.58,32.34,1014,57,1014,994,10000,4.92,73,4.47,21,Clouds,few clouds,02n,-18000
Miami,US,-80.1937,25.7743,27.39,30.51,26.11,28.34,1015,79,1015,1015,10000,2.79,81,2.59,67,Clouds,broken clouds,04n,-14400
Boston,US,-71.0598,42.3584,27.75,30.81,25.64,29.1,1012,75,1012,1009,10000,1.79,238,3.13,3,Clear,clear sky,01n,-14400
Philadelphia,US,-75.1638,39.9523,30.25,37.25,28.66,31.09,1015,76,1015,1011,10000,2.68,192,4.92,4,Clear,clear sky,01n,-14400
Atlanta,US,-84.388,33.749,27.26,30.0,25.92,28.52,1018,77,1018,985,10000,0.79,337,0.98,100,Clouds,overcast clouds,04n,-14400
Detroit,US,-83.0458,42.3314,31.66,36.87,28.99,32.21,1014,62,1014,993,10000,3.86,247,10.53,0,Clear,clear sky,01n,-14400
Seattle,US,-122.3321,47.6062,17.56,17.12,16.49,18.73,1017,67,1017,1006,10000,1.79,296,4.47,99,Clouds,overcast clouds,04d,-25200
Denver,US,-104.9847,39.7392,27.2,26.43,25.95,27.73,1003,27,1003,832,10000,4.92,322,9.83,100,Clouds,overcast clouds,04d,-21600
Medellin,CO,-75.5636,6.2518,14.85,13.96,14.85,15.38,1015,60,1015,806,10000,1.34,81,1.34,100,Clouds,overcast clouds,04n,-18000
Cali,CO,-76.5225,3.4372,20.0,20.27,19.99,20.0,1011,85,1011,870,10000,0.45,301,0.45,100,Clouds,overcast clouds,04n,-18000
Guayaquil,EC,-79.9,-2.1667,27.19,30.6,27.19,27.19,1009,84,1009,1008,10000,3.15,224,6.73,70,Rain,light rain,10n,-18000
Asuncion,PY,-57.6359,-25.3007,15.14,15.24,15.14,15.14,1018,97,1018,1009,9494,4.92,197,5.81,100,Clouds,overcast clouds,04n,-10800
Sucre,BO,-65.2627,-19.0333,12.76,11.42,12.76,12.76,1017,51,1017,732,10000,1.82,42,1.9,0,Clear,clear sky,01n,-14400
Alexandria,EG,29.9553,31.2156,25.29,25.81,25.29,25.29,1010,74,1010,1010,10000,3.82,313,5.55,0,Clear,clear sky,01n,10800
Kinshasa,CD,15.3215,-4.3246,21.41,21.46,21.41,21.41,1013,71,1013,981,10000,1.61,230,2.77,2,Clear,clear sky,01n,3600
Luanda,AO,13.2343,-8.8368,18.31,18.39,18.31,18.31,1015,84,1015,1006,10000,3.26,145,3.91,95,Clouds,overcast clouds,04n,3600
Maputo,MZ,32.5892,-25.9653,19.57,19.67,19.57,19.57,1013,80,1013,1005,10000,4.47,160,7.6,2,Clear,clear sky,01n,7200
Dakar,SN,-17.4441,14.6937,26.81,29.75,26.81,26.81,1014,85,1014,1014,10000,0.89,51,4.02,100,Clouds,overcast clouds,04n,0
Perth,AU,115.8333,-31.9333,14.49,14.01,13.43,15.02,1024,77,1024,1021,10000,1.79,129,3.58,0,Clear,clear sky,01d,28800
Adelaide,AU,138.6,-34.9333,12.12,11.69,10.41,13.56,1007,88,1007,992,10000,3.58,300,6.71,99,Clouds,overcast clouds,04d,34200
Christchurch,NZ,172.6333,-43.5333,12.17,11.27,12.17,12.17,1029,70,1029,1022,10000,2.68,349,4.92,0,Clear,clear sky,01d,43200
Port Moresby,PG,147.1797,-9.4431,28.17,29.7,28.17,28.17,1012,60,1012,1009,10000,7.68,173,7.21,89,Clouds,overcast clouds,04d,36000
Suva,FJ,178.4415,-18.1416,22.8,22.89,22.8,22.8,1015,67,1015,1012,10000,6.41,143,6.77,100,Clouds,overcast clouds,04d,43200
Kuwait City,KW,47.9783,29.3697,35.99,35.24,35.99,35.99,998,26,998,996,10000,8.18,298,13.75,0,Clear,clear sky,01d,10800
Manama,BH,50.5832,26.2154,32.88,35.24,32.88,32.88,997,47,997,997,10000,5.53,292,8.3,4,Clear,clear sky,01d,10800
