city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,15.75,15.57,15.75,15.75,1012,84,1012,993,10000,4.27,337,10.19,35,Clouds,scattered clouds,03d,10800
Saint Petersburg,RU,30.2642,59.8944,15.59,14.88,15.59,15.59,1017,64,1017,1015,10000,2.05,322,4.53,100,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,21.55,21.22,21.55,21.55,1013,56,1013,994,10000,2.4,48,3.79,88,Clouds,overcast clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,17.52,17.36,17.52,17.52,1003,78,1003,971,10000,2.37,159,4.57,74,Clouds,broken clouds,04d,18000
Kazan,RU,49.1221,55.7887,16.44,16.41,16.44,16.44,1000,87,1000,987,10000,5.37,314,11.57,81,Clouds,broken clouds,04d,10800
Vladimir,RU,40.3966,56.1366,14.98,14.78,14.98,14.98,1009,86,1009,992,10000,3.96,336,11.39,8,Clear,clear sky,01d,10800
Nizhny Novgorod,RU,44.002,56.3287,16.19,16.24,16.19,16.19,1005,91,1005,995,10000,2.7,307,7.72,3,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,15.18,15.23,15.18,15.18,1001,95,1001,992,10000,5.45,283,12.0,73,Clouds,broken clouds,04d,14400
Omsk,RU,73.4,55.0,23.18,23.22,23.18,23.18,1012,64,1012,1001,10000,4.15,139,7.44,100,Clouds,overcast clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,17.81,17.24,17.81,17.81,1014,61,1014,985,10000,2.83,83,5.14,100,Clouds,overcast clouds,04d,25200
Rostov-on-Don,RU,39.7139,47.2364,18.37,18.3,18.37,18.37,1014,78,1014,1009,10000,2.58,262,6.8,21,Clouds,few clouds,02d,10800
Ufa,RU,56.0375,54.775,15.09,14.82,15.09,15.09,1000,83,1000,986,10000,3.75,169,9.91,18,Clouds,few clouds,02d,18000
Volgograd,RU,44.5018,48.7194,18.91,18.58,18.91,18.91,1011,66,1011,1004,10000,4.31,277,7.78,7,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,16.87,16.91,16.87,16.87,1001,88,1001,984,10000,2.81,136,4.3,77,Clouds,broken clouds,04d,18000
Voronezh,RU,39.17,51.6664,15.97,16.0,15.97,15.97,1011,91,1011,996,10000,1.97,301,4.74,7,Clear,clear sky,01d,10800
