city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,16.86,16.64,16.86,16.86,1002,78,1002,983,10000,2.6,289,4.38,93,Clouds,overcast clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,15.02,14.98,15.02,15.02,997,92,997,998,10000,1.61,56,2.6,17,Clouds,few clouds,02d,10800
Novosibirsk,RU,82.9344,55.0411,23.52,23.6,23.52,23.52,1005,64,1005,986,10000,3.84,184,4.91,99,Clouds,overcast clouds,04d,25200
Yekaterinburg,RU,60.6125,56.8575,20.91,20.99,20.91,20.91,1006,74,1006,974,10000,2.02,270,3.13,0,Clear,clear sky,01d,18000
Kazan,RU,49.1221,55.7887,20.03,20.07,20.03,20.03,1006,76,1006,992,10000,4.77,127,9.21,46,Clouds,scattered clouds,03d,10800
Vladimir,RU,40.3966,56.1366,15.58,15.7,15.58,15.58,1001,96,1001,985,10000,2.8,275,4.73,100,Clouds,overcast clouds,04d,10800
Nizhny Novgorod,RU,44.002,56.3287,18.16,18.38,18.16,18.16,1002,90,1002,992,10000,2.34,169,4.06,77,Rain,light rain,10d,10800
Samara,RU,50.0,53.0,23.76,24.15,23.76,23.76,1006,75,1006,996,10000,2.29,154,4.22,20,Clouds,few clouds,02d,14400
Omsk,RU,73.4,55.0,19.62,19.78,19.62,19.62,1004,82,1004,993,10000,3.63,244,4.76,8,Clear,clear sky,01d,21600
Krasnoyarsk,RU,92.7917,56.0097,25.43,25.7,25.43,25.43,1007,64,1007,979,10000,0.79,355,0.7,100,Clouds,overcast clouds,04d,25200
Rostov-on-Don,RU,39.7139,47.2364,18.51,18.61,18.51,18.51,1006,84,1006,1001,10000,4.55,298,7.78,85,Clouds,overcast clouds,04d,10800
Ufa,RU,56.0375,54.775,19.66,19.93,19.66,19.66,1008,86,1008,994,10000,0.66,282,0.89,0,Clear,clear sky,01d,18000
Volgograd,RU,44.5018,48.7194,23.03,23.06,23.03,23.03,1004,64,1004,997,10000,2.74,205,4.11,100,Clouds,overcast clouds,04d,10800
Perm,RU,56.2855,58.0174,18.46,18.37,18.46,18.46,1007,77,1007,990,10000,1.6,306,2.33,0,Clear,clear sky,01d,18000
Voronezh,RU,39.17,51.6664,15.32,15.44,15.32,15.32,1003,97,1003,988,5922,3.93,313,8.02,100,Rain,moderate rain,10d,10800
