city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,12.41,11.85,12.41,12.41,1008,82,1008,989,4044,3.78,228,8.25,100,Clouds,overcast clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,14.47,14.48,14.47,14.47,1002,96,1002,1000,10000,5.27,307,10.04,100,Clouds,overcast clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,18.36,17.5,18.36,18.36,1022,48,1022,1002,10000,6.04,67,10.64,2,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,18.7,18.58,18.7,18.7,1015,75,1015,982,10000,1.33,153,2.79,8,Clear,clear sky,01d,18000
Kazan,RU,49.1221,55.7887,13.73,13.59,13.73,13.73,1013,93,1013,999,10000,2.47,210,6.4,51,Clouds,broken clouds,04d,10800
Vladimir,RU,40.3966,56.1366,11.61,11.23,11.61,11.61,1009,92,1009,992,10000,3.79,204,8.75,14,Clouds,few clouds,02d,10800
Nizhny Novgorod,RU,44.002,56.3287,12.73,12.36,12.73,12.73,1010,88,1010,1000,10000,2.77,207,7.16,0,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,15.04,14.82,15.04,15.04,1016,85,1016,1007,10000,3.96,229,7.38,0,Clear,clear sky,01d,14400
Omsk,RU,73.4,55.0,21.66,22.02,21.66,21.66,1017,82,1017,1006,10000,2.03,135,2.85,100,Clouds,overcast clouds,04d,21600
Krasnoyarsk,RU,92.7917,56.0097,15.1,13.61,15.1,15.1,1026,36,1026,996,10000,3.2,38,4.61,13,Clouds,few clouds,02d,25200
Rostov-on-Don,RU,39.7139,47.2364,16.37,15.99,16.37,16.37,1018,74,1018,1012,10000,0.2,81,0.14,60,Clouds,broken clouds,04d,10800
Ufa,RU,56.0375,54.775,16.01,16.12,16.01,16.01,1015,94,1015,1001,10000,3.47,189,8.61,30,Clouds,scattered clouds,03d,18000
Volgograd,RU,44.5018,48.7194,18.29,17.56,18.29,18.29,1018,53,1018,1011,10000,2.55,247,4.91,7,Clear,clear sky,01d,10800
Perm,RU,56.2855,58.0174,15.1,14.94,15.1,15.1,1013,87,1013,995,10000,3.28,151,9.92,96,Rain,light rain,10d,18000
Voronezh,RU,39.17,51.6664,11.32,10.96,11.32,11.32,1015,94,1015,999,10000,2.39,230,7.34,47,Clouds,scattered clouds,03d,10800
Krasnodar,RU,40.0,45.0,16.98,17.06,16.98,16.98,1017,89,1017,1006,10000,1.83,100,3.15,88,Clouds,overcast clouds,04d,10800
Saratov,RU,46.0333,51.5667,15.41,15.2,15.41,15.41,1017,84,1017,1009,10000,2.77,235,4.44,25,Clouds,scattered clouds,03d,14400
Tyumen,RU,65.5272,57.1522,22.11,22.41,22.11,22.11,1015,78,1015,1006,10000,0.63,155,0.69,33,Clouds,scattered clouds,03d,18000
Tolyatti,RU,49.3461,53.5303,14.13,13.9,14.13,14.13,1015,88,1015,1008,10000,4.27,206,7.2,0,Clear,clear sky,01d,14400
Izhevsk,RU,53.2333,56.85,15.07,15.11,15.07,15.07,1012,95,1012,996,10000,4.08,232,6.18,99,Rain,light rain,10d,14400
London,GB,-0.1257,51.5085,17.16,17.2,16.14,17.66,1018,87,1018,1014,10000,0.89,148,0.89,38,Clouds,scattered clouds,03n,3600
Paris,FR,2.3488,48.8534,19.54,19.61,18.93,20.26,1019,79,1019,1009,10000,2.53,34,5.43,16,Clouds,few clouds,02n,7200
Berlin,DE,13.4105,52.5244,19.4,19.28,17.86,20.04,1019,72,1019,1013,10000,3.13,221,4.02,100,Clouds,overcast clouds,04n,7200
Madrid,ES,-3.7026,40.4165,23.39,22.75,22.37,24.01,1018,37,1018,945,10000,1.34,87,2.24,5,Clear,clear sky,01n,7200
Rome,US,-85.1647,34.257,24.79,25.54,23.47,25.56,1010,85,1010,985,10000,2.93,193,10.76,0,Clear,clear sky,01n,-14400
Amsterdam,NL,4.8897,52.374,16.89,16.78,15.46,17.78,1018,82,1018,1018,10000,1.79,274,4.02,77,Clouds,broken clouds,04n,7200
Brussels,BE,4.3488,50.8504,17.07,17.16,16.21,17.73,1019,89,1019,1013,10000,2.24,272,2.75,54,Clouds,broken clouds,04n,7200
Vienna,AT,16.3721,48.2085,18.78,18.91,17.86,19.27,1021,84,1021,994,10000,0.45,333,0.89,26,Clouds,scattered clouds,03n,7200
Prague,CZ,14.4208,50.088,18.42,18.38,17.73,19.06,1021,79,1021,987,10000,0.89,240,,65,Clouds,broken clouds,04n,7200
Warsaw,PL,21.0118,52.2298,13.2,12.56,10.68,14.28,1018,76,1018,1008,10000,2.12,238,4.07,85,Clouds,overcast clouds,04d,7200
Budapest,HU,19.0399,47.498,17.92,17.78,14.88,18.9,1020,77,1020,999,10000,1.34,17,2.68,58,Clouds,broken clouds,04n,7200
Lisbon,PT,-9.1333,38.7167,17.97,17.86,17.53,18.93,1016,78,1016,1008,10000,4.02,190,5.81,11,Clouds,few clouds,02n,3600
Stockholm,SE,18.0649,59.3326,12.34,11.54,12.34,12.34,1010,73,1010,1006,10000,3.3,263,10.0,100,Clouds,overcast clouds,04d,7200
Oslo,NO,10.7461,59.9127,13.09,12.8,8.85,13.09,1009,90,1009,985,10000,0.72,233,0.74,76,Clouds,broken clouds,04d,7200
Copenhagen,DK,12.5655,55.6759,16.19,16.24,16.19,16.19,1015,91,1015,1014,10000,4.9,274,8.55,100,Clouds,overcast clouds,04d,7200
Helsinki,FI,24.9355,60.1695,11.93,11.32,10.49,12.65,1007,82,1007,1005,10000,7.15,293,8.05,0,Clear,clear sky,01d,10800
Athens,GR,23.7162,37.9795,23.59,23.57,22.08,24.54,1014,60,1014,990,10000,2.68,44,6.71,90,Clouds,overcast clouds,04n,10800
Dublin,US,-121.9358,37.7021,19.66,19.46,16.33,22.04,1011,68,1011,986,10000,1.79,301,4.92,2,Clear,clear sky,01d,-25200
Zurich,CH,8.55,47.3667,17.84,17.77,16.49,18.78,1021,80,1021,964,10000,0.71,140,0.69,9,Clear,clear sky,01n,7200
Barcelona,ES,2.159,41.3888,23.02,22.63,21.45,23.64,1019,48,1019,1012,10000,1.44,131,1.09,0,Clear,clear sky,01n,7200
Beijing,CN,116.3972,39.9075,29.46,29.88,29.46,29.46,1007,47,1007,1002,10000,1.37,106,1.91,100,Clouds,overcast clouds,04d,28800
Shanghai,CN,121.4581,31.2222,29.82,32.12,29.82,29.82,1009,58,1009,1008,10000,2.34,36,1.81,100,Clouds,overcast clouds,04d,28800
